LB_MAL8_blanked,LB_MAL10_blanked,LB_MAL1_blanked,LB_MAL5_blanked,LB_MAL4_blanked,LB_LCY1_blanked,TIME[H]
1.551533333333333,1.471466666666667,1.5875666666666668,1.5779666666666667,1.4577333333333335,1.5287333333333333,24.999288333333332
1.5527000000000002,1.4740333333333333,1.5892666666666666,1.5798666666666668,1.4600666666666666,1.5360666666666667,25.24928027777778
1.552,1.4732666666666667,1.5878666666666668,1.5792666666666666,1.4593,1.5365,25.499276944444443
1.5545666666666664,1.4755333333333331,1.5905,1.5807,1.4583999999999997,1.5409333333333335,25.7492675
1.5562,1.476433333333333,1.5922,1.5809333333333335,1.4582000000000002,1.5426,25.999260833333334
1.5577,1.479166666666667,1.5929666666666664,1.5817999999999999,1.4601666666666668,1.5484,26.249254444444446
1.5587666666666666,1.4799333333333333,1.5943333333333336,1.5836000000000001,1.4584666666666666,1.551633333333333,26.49925
1.5608333333333333,1.4813666666666667,1.5954333333333333,1.5846333333333333,1.461,1.5532000000000001,26.749244166666664
1.5615666666666668,1.4819333333333335,1.5958666666666665,1.5863333333333334,1.461366666666667,1.5563666666666667,26.999234444444447
1.5626999999999998,1.4836,1.5967,1.5850333333333333,1.4583666666666666,1.5627999999999995,27.249228055555555
1.5616999999999999,1.4813666666666667,1.5942666666666667,1.583566666666667,1.4571666666666667,1.5591,27.499221944444443
1.5644666666666665,1.4840666666666669,1.5973333333333335,1.586733333333333,1.4573999999999998,1.5657333333333332,27.7492175
1.5632000000000001,1.4842000000000004,1.5972,1.5853000000000002,1.4562000000000004,1.5684666666666671,27.99921
1.566366666666667,1.4846000000000001,1.5982,1.5868666666666666,1.456566666666667,1.5692333333333335,28.2492
1.5715000000000001,1.4889333333333334,1.6026333333333334,1.5893,1.4589333333333334,1.5739,28.499194444444445
1.5691666666666666,1.4891333333333332,1.6001999999999998,1.5885666666666667,1.4584666666666666,1.575833333333333,28.749187222222222
1.5727000000000002,1.4914666666666667,1.6034666666666668,1.5917999999999999,1.4614333333333334,1.5827,28.99918333333333
1.5759333333333332,1.4923333333333335,1.6050000000000002,1.5931333333333333,1.4621,1.5826333333333333,29.24917638888889
1.5770666666666666,1.4952333333333332,1.6068333333333336,1.5958000000000003,1.4598666666666664,1.5842666666666667,29.499166111111112
1.5807999999999995,1.4953666666666665,1.6089333333333333,1.596533333333333,1.4577666666666667,1.5886999999999998,29.749160277777776
1.5813000000000001,1.4984,1.608766666666667,1.5984333333333334,1.4543666666666668,1.5897,29.999152777777777
1.5837999999999999,1.4998333333333331,1.6110333333333333,1.5991333333333333,1.4523000000000001,1.5933333333333333,30.2491475
1.5878999999999999,1.5018999999999998,1.613433333333333,1.600766666666667,1.4435666666666667,1.5954333333333335,30.49914111111111
1.5879666666666667,1.5027000000000004,1.6134666666666666,1.6022,1.4327333333333332,1.6037666666666666,30.749133333333333
1.5917,1.5063333333333335,1.6173333333333335,1.6043,1.4309333333333334,1.6035666666666666,30.999126111111114
1.591366666666667,1.5062666666666666,1.6151,1.6050000000000002,1.4288333333333334,1.6046333333333336,31.249119722222225
1.5934333333333335,1.5080666666666664,1.6166666666666665,1.6044666666666665,1.4294666666666667,1.6107999999999998,31.4991125
1.5966666666666667,1.5093333333333334,1.6194333333333333,1.606433333333333,1.4276,1.6102333333333332,31.749105833333335
1.5969666666666666,1.5102666666666664,1.6194666666666666,1.6072,1.4211666666666667,1.6138333333333335,31.999099722222223
1.5983,1.5115333333333334,1.6208,1.6083999999999998,1.4149666666666667,1.6189333333333333,32.249091666666665
1.6019333333333337,1.5144666666666668,1.622566666666667,1.6115666666666668,1.4072333333333336,1.618366666666667,32.49908555555555
1.6052333333333333,1.5177,1.6270666666666667,1.6125000000000005,1.4074333333333333,1.6272999999999997,32.74907861111111
1.6069,1.5190999999999997,1.6272666666666669,1.6146666666666667,1.4104666666666668,1.624366666666667,32.9990725
1.6069999999999998,1.5207666666666668,1.6274666666666666,1.6149666666666664,1.4001,1.6259666666666668,33.249065
1.6092,1.5222000000000002,1.6292,1.6166666666666667,1.4123333333333332,1.6296666666666666,33.49905777777778
1.6126666666666667,1.5253999999999999,1.6326999999999998,1.6197666666666664,1.4135666666666664,1.6352333333333333,33.749050833333335
1.6142333333333334,1.5284666666666666,1.6346333333333334,1.6233999999999997,1.4097666666666666,1.639066666666667,33.999044166666664
1.6145666666666667,1.5297999999999998,1.6348666666666667,1.6223999999999998,1.3965666666666667,1.6459333333333332,34.24903777777777
1.6161666666666665,1.5312000000000001,1.635733333333333,1.6255333333333333,1.392866666666667,1.6462333333333334,34.49903138888889
1.6179,1.5322999999999998,1.6368,1.6259666666666666,1.3902666666666665,1.6439333333333332,34.74902388888889
1.6199333333333337,1.534966666666667,1.6377999999999997,1.6268999999999998,1.4041333333333332,1.6530333333333334,34.99901777777778
1.6216666666666668,1.5379999999999998,1.6395666666666662,1.6291,1.3950333333333333,1.6597,35.24900944444444
1.6199666666666666,1.5359000000000003,1.6385333333333334,1.6283333333333334,1.3918666666666664,1.6614,35.499005555555556
1.622066666666667,1.5376999999999996,1.6396333333333333,1.6298666666666666,1.3820666666666668,1.6566,35.74899861111111
1.6242666666666667,1.5419666666666667,1.6422666666666665,1.6334333333333328,1.3967333333333334,1.665166666666667,35.99899
