H2O_MAL8_blanked,H2O_MAL10_blanked,H2O_MAL1_blanked,H2O_MAL5_blanked,H2O_MAL4_blanked,H2O_LCY1_blanked,TIME[H]
0.11646666666666672,0.0032000000000000084,0.012266666666666676,0.0,0.0,0.0,45.998713055555555
0.11646666666666666,0.0029333333333333156,0.01319999999999999,0.0,0.0,0.0,46.248704999999994
0.11639999999999995,0.0032999999999999974,0.013366666666666666,0.0,0.0,0.0,46.49869944444445
0.11623333333333336,0.002166666666666678,0.012700000000000017,0.0,0.0,0.0,46.748691388888886
0.11523333333333335,0.001166666666666677,0.012500000000000039,0.0,0.0,0.0,46.998685
0.11579999999999996,0.0019000000000000128,0.013033333333333341,0.0,0.0,0.0,47.24867722222223
0.11736666666666659,0.0024333333333332874,0.013966666666666627,0.0,0.0,0.0,47.49867444444445
0.11770000000000003,0.0034666666666666734,0.014666666666666633,0.0,0.0,0.0,47.74866361111111
0.11480000000000001,0.00020000000000000573,0.012500000000000011,0.0,0.0,0.0,47.99865749999999
0.11823333333333327,0.00216666666666665,0.015200000000000019,0.0,0.0,0.0,48.24865138888889
0.11906666666666665,0.0036333333333332662,0.01679999999999998,0.0,0.0,0.0,48.498648055555556
0.11879999999999999,0.0032666666666666677,0.014900000000000024,0.0,0.0,0.0,48.748639999999995
0.11599999999999999,0.001066666666666688,0.01353333333333337,0.0,0.0,0.0,48.99863305555556
0.11609999999999995,0.0007333333333333081,0.012299999999999978,0.0,0.0,0.0,49.24862638888889
0.1179,0.0032333333333333103,0.015400000000000025,0.0,0.0,0.0,49.49861611111111
0.12083333333333332,0.005600000000000022,0.017966666666666686,0.0,0.0,0.0,49.74860916666666
0.1195,0.003666666666666679,0.01633333333333334,0.0,0.0,0.0,49.998602777777776
0.11833333333333332,0.002233333333333337,0.015599999999999975,0.0,0.0,0.0,50.24859555555555
0.11793333333333333,0.0019333333333333425,0.01633333333333334,0.0,0.0,0.0,50.49858861111111
0.12006666666666668,0.005466666666666675,0.01843333333333333,0.0,0.0,0.0,50.74858277777778
0.11893333333333336,0.003366666666666712,0.016866666666666696,0.0,0.0,0.0,50.998577499999996
0.11996666666666667,0.002700000000000008,0.016566666666666702,0.0,0.0,0.0,51.24856944444445
0.11973333333333333,0.0032999999999999974,0.017066666666666702,0.0,0.0,0.0,51.498562500000006
0.11913333333333331,0.002533333333333332,0.016533333333333344,0.0,0.0,0.0,51.74855611111111
0.1184,0.0025000000000000022,0.017633333333333334,0.0,0.0,0.0,51.99854861111111
0.11996666666666664,0.00303333333333336,0.017033333333333373,0.0,0.0,0.0,52.24854194444444
0.11976666666666666,0.002899999999999958,0.016866666666666696,0.0,0.0,0.0,52.49853583333333
0.12029999999999999,0.002700000000000008,0.017433333333333384,0.0,0.0,0.0,52.74853027777778
0.1194,0.0034666666666666734,0.018133333333333335,0.0,0.0,0.0,52.99852444444444
0.11863333333333331,0.002466666666666645,0.01679999999999998,0.0,0.0,0.0,53.24851777777778
0.11829999999999996,0.0012333333333333363,0.016400000000000026,0.0,0.0,0.0,53.49850694444444
0.11963333333333331,0.0035666666666666624,0.01773333333333335,0.0,0.0,0.0,53.74850083333333
0.11993333333333331,0.0027333333333333654,0.016566666666666702,0.0,0.0,0.0,53.99849444444444
0.1199,0.00273333333333331,0.01776666666666668,0.0,0.0,0.0,54.248487222222224
0.11803333333333338,0.0017666666666666941,0.016833333333333367,0.0,0.0,0.0,54.49848111111111
0.11799999999999997,0.002799999999999969,0.015866666666666668,0.0,0.0,0.0,54.74847472222222
0.11729999999999993,0.002366666666666656,0.016699999999999965,0.0,0.0,0.0,54.99847
0.11970000000000003,0.005966666666666676,0.02169999999999997,0.0,0.0,0.0,55.24846083333333
0.11859999999999996,0.004333333333333356,0.01893333333333333,0.0,0.0,0.0,55.49845305555556
0.12100000000000002,0.004266666666666641,0.019666666666666666,0.0,0.0,0.0,55.74844944444445
0.12056666666666663,0.006033333333333335,0.020333333333333342,0.0,0.0,0.0,55.998439999999995
0.12029999999999999,0.0052666666666666695,0.019633333333333336,0.0,0.0,0.0,56.24843583333333
0.1180333333333334,0.003333333333333355,0.017833333333333312,0.0,0.0,0.0,56.49842916666667
0.1179,0.004366666666666713,0.017833333333333368,0.0,0.0,0.0,56.748419722222216
0.1168666666666667,0.003100000000000047,0.01833333333333334,0.0,0.0,0.0,56.99841111111111
0.11763333333333334,0.00303333333333336,0.017466666666666686,0.0,0.0,0.0,57.24840527777778
0.11806666666666665,0.0037333333333333663,0.018466666666666687,0.0,0.0,0.0,57.49839888888889
0.11809999999999998,0.0041999999999999815,0.0194,0.0,0.0,0.0,57.74839166666666
