strain,consensus_idx,consensus_time,consensus_confidence,n_methods_succeeded,disagreement_hours,flagged_for_review,consensus_method,first_peak_idx,first_peak_time,first_peak_confidence,stationary_phase_idx,stationary_phase_time,stationary_phase_confidence,adaptive_r2_idx,adaptive_r2_time,adaptive_r2_confidence,gp_derivative_idx,gp_derivative_time,gp_derivative_confidence
IMIDACLOPRIDANDLB-IMID8,191,47.74866611111111,0.5250625200337953,4,88.24759694444447,True,weighted_median,56,13.999588888888889,0.9904970760233915,191,47.74866611111111,0.97,42,10.499682222222225,0.0,395,98.74727916666669,0.999129324018425
H2O-IMID2,248,61.99827527777778,0.5639096613683556,4,57.74842916666667,True,weighted_median,60,14.999558888888888,0.9714416615760536,248,61.99827527777778,0.87,93,23.249336111111113,0.0,291,72.74798805555555,0.9937120953514894
PERMETHRIN-PERM4,339,84.74769055555555,0.5164040504104691,4,55.24851722222221,True,weighted_median,167,41.748846666666665,0.9940007499062619,339,84.74769055555555,0.531413612565445,160,39.998893888888894,0.0,381,95.2474111111111,0.9879742150640912
PERMETHRIN-PERM7,162,40.49888083333333,0.8438319991666148,4,31.749144444444447,True,weighted_median,106,26.49926027777778,0.9429079734756591,162,40.49888083333333,0.9973821989528796,233,58.248404722222226,0.0,199,49.748629722222226,0.9906511051618999
LAMBDACYHALOTHRINANDLB-LCY3,245,61.24832083333333,0.5839894212056157,4,50.49864,True,weighted_median,101,25.249293333333338,0.9842147712870148,245,61.24832083333333,0.774869109947644,82,20.499419166666662,0.0,284,70.99805916666666,0.9985141987540855
PERMETHRINANDLB-PERM4,93,23.2493475,0.9041994164145843,4,18.499504444444447,True,weighted_median,69,17.249505555555555,0.9899674669671582,93,23.2493475,0.9659685863874345,33,8.249745833333334,0.0,107,26.74925027777778,0.9980271807197082
PERMETHRINANDLB-CYPERM2,341,85.24767694444444,0.9061679476094247,4,28.24923944444444,True,weighted_median,258,64.49823611111111,0.966636609558161,351,87.74761055555555,0.9267015706806283,371,92.74747555555555,0.0,341,85.24767694444444,0.9944918270569216
PERMETHRINANDLB-PERM7,88,21.999378888888888,0.9041994186018705,4,19.99946361111111,True,weighted_median,66,16.499523611111112,0.9873051989092942,88,21.999378888888888,0.9764397905759162,31,7.749759444444444,0.0,111,27.749223055555554,0.9986553372741711
LB-PERM4,93,23.2493475,0.9041994164145843,4,18.499504444444447,True,weighted_median,69,17.249505555555555,0.9899674669671582,93,23.2493475,0.9659685863874345,33,8.249745833333334,0.0,107,26.74925027777778,0.9980271807197082
LB-PERM7,88,21.999378888888888,0.9041994186018705,4,19.99946361111111,True,weighted_median,66,16.499523611111112,0.9873051989092942,88,21.999378888888888,0.9764397905759162,31,7.749759444444444,0.0,111,27.749223055555554,0.9986553384196462
LB-LCY3,245,61.24832083333333,0.5839894212056157,4,50.49864,True,weighted_median,101,25.249293333333338,0.9842147712870148,245,61.24832083333333,0.774869109947644,82,20.499419166666662,0.0,284,70.99805916666666,0.9985141998421534
H2O-CYPERM2,34,8.499743055555555,0.7604986121232574,4,88.2476311111111,True,weighted_median,34,8.499743055555555,0.9265625000000026,38,9.499715555555555,0.9842931937172775,381,95.2474111111111,0.0,28,6.9997799999999994,0.9686565703332274
H2O-LCY3,128,31.999109166666667,0.6856954642220079,4,66.49821166666666,True,weighted_median,199,49.748629722222226,0.9890463917525794,128,31.999109166666667,0.9450261780104712,381,95.2474111111111,0.0,115,28.749199444444447,0.988085642027779
