strain,pesticide,mu_final,A_final,Ki_median,Ki_hdi_low,Ki_hdi_high,S0_mg_L,attenuation,degradation_capacity,capacity_low,capacity_high,mu_source
IMIDACLOPRIDANDLB-IMID3,IMIDACLOPRID,0.0215045312455271,0.9165514041199064,16.23987363530914,1.971241076443882,71.82388572887194,20.0,2.231536676277794,0.008832482350639463,0.0017683651942398152,0.015417005860663765,refined
IMIDACLOPRIDANDLB-IMID3,IMIDACLOPRID,0.0215045312455271,0.9165514041199064,14.648761035892134,4.327673978614112,73.17453531444708,20.0,2.3653031782685483,0.008332973332601025,0.0035062328666483193,0.015479236833502403,refined
IMIDACLOPRIDANDLB-IMID2,IMIDACLOPRID,0.0367481418654679,0.383313339895986,27.23025047546859,2.2672681118343836,71.05166500913217,20.0,1.7344772688748407,0.008121209338512498,0.0014342513241050005,0.010991973825951074,refined
IMIDACLOPRIDANDLB-IMID8,IMIDACLOPRID,0.0299768434791512,0.6646281059115857,12.531437190982622,2.673423224250406,85.77134118007802,20.0,2.5959861343271635,0.007674714606255076,0.0023491742131746068,0.01615618408717998,refined
IMIDACLOPRIDANDLB-IMID8,IMIDACLOPRID,0.0299768434791512,0.6646281059115857,11.1880839673225,5.044125980832751,78.71149414905705,20.0,2.78761618686585,0.007147129076315383,0.0040127735135488275,0.015886748998794286,refined
IMIDACLOPRIDANDLB-IMID2,IMIDACLOPRID,0.0367481418654679,0.383313339895986,11.697276855262489,2.450325707867752,82.40067439847483,20.0,2.7097996608503117,0.005198189813413707,0.0015374127850661143,0.011334888887099761,refined
IMIDACLOPRIDANDLB-IMID6,IMIDACLOPRID,0.0213576913645442,0.551951080677461,15.295953990652976,4.463381134872338,77.78067348989558,20.0,2.3075353137320866,0.005108654571517653,0.0021508116798055177,0.009377208431450568,refined
PERMETHRINANDLB-CYPERM2,PERMETHRIN,0.0212268063617179,0.7285564322101152,16.637197115872564,5.353567160605318,67.4472315573738,100.0,7.010627830128666,0.0022059260147353084,0.0007858539949460272,0.0062292249095691615,refined
DIAZINONANDG-DIAZ8,DIAZINON,0.0454269168710666,0.1704531770779945,5.770091572133821,0.8420884505485623,16.73646275356813,20.0,4.466149496931442,0.0017337445400901483,0.0003128490488696313,0.003527643594612805,refined
PERMETHRINANDLB-CISPERM1,PERMETHRIN,0.0114152188202764,0.8241250992723673,18.255430991599,4.100409391709087,63.63404584521094,100.0,6.477821917544384,0.0014522733818904225,0.0003705545618325558,0.003658417367660733,refined
