strain,A_mean,A_ci_low,A_ci_high,mu_mean,mu_ci_low,mu_ci_high,mu_ci_width,lam_mean,lam_ci_low,lam_ci_high,r2_mean,r2_ci_low,r2_ci_high,p_good,n_successful
LB-BIF9,1.6222280629527779,1.6038589915271075,1.643165655256352,0.166760880719801,0.1588406764964362,0.17476745277432928,0.015926776277893073,0.3358621775366803,0.09946955257188493,0.5650149385304659,0.9891960252362251,0.9844474441936547,0.9931610915019194,1.0,1000
LB-FLUPC8,1.4253934405342479,1.3902080079843109,1.4588221901126364,0.7984876057304545,0.6660698213737264,0.9648705460399639,0.2988007246662375,3.444793445924846,3.2606446321223035,3.638055494929447,0.9826538468225298,0.9770541007473783,0.9877881526924337,1.0,1000
LAMBDACYHALOTHRINANDLB-LCY1,1.6002249833404953,1.5871413128497718,1.6138434956910717,0.183593263425109,0.17943322030502648,0.1877750163131488,0.00834179600812232,3.865390406983589,3.758518337101098,3.9584140169407753,0.9986899211064907,0.9984123065963828,0.9989686189405389,1.0,1000
MALATHIONANDLB-MAL8,1.6746080676862845,1.6575481057062074,1.6932339431612968,0.3225746013938734,0.3140034984780824,0.3312423993355969,0.017238900857514505,1.785170557409079,1.7177090872659286,1.8532402863130735,0.9989330810250023,0.9984498891200729,0.9993305398996433,1.0,1000
MALATHIONANDLB-MAL1,1.492558962476458,1.4779263699632235,1.5061574388551324,0.2648534743871552,0.2566533042222339,0.2730450532574977,0.016391749035263803,3.3930748072195347,3.3086651329198857,3.481442214882761,0.9986226767724021,0.9981349010099917,0.9990742533099398,1.0,1000
MALATHIONANDLB-MAL5,1.5860655796666605,1.5755670190714473,1.5979665320004113,0.2967148351510765,0.29183697549325754,0.30171297095305766,0.009875995459800113,2.7110185035194374,2.6695196504901504,2.752779027297972,0.9996197986838168,0.9994582135830468,0.999758915675226,1.0,1000
MALATHIONANDLB-MAL4,1.527323715171083,1.5038121277697758,1.5514633643350406,0.21598035185172107,0.21061869792203083,0.2218405517965606,0.011221853874529758,2.976480234918671,2.8992705731925503,3.054887601747782,0.9988409284113179,0.9984908814522083,0.9991653634060237,1.0,1000
LB-MAL8,1.6746080676862845,1.6575481057062074,1.6932339431612968,0.3225746013938734,0.3140034984780824,0.3312423993355969,0.017238900857514505,1.785170557409079,1.7177090872659286,1.8532402863130735,0.9989330810250023,0.9984498891200729,0.9993305398996433,1.0,1000
LB-MAL10,1.492558962476458,1.4779263699632235,1.5061574388551324,0.2648534743871552,0.2566533042222339,0.2730450532574977,0.016391749035263803,3.3930748072195347,3.3086651329198857,3.481442214882761,0.9986226767724021,0.9981349010099917,0.9990742533099398,1.0,1000
LB-MAL1,1.492558962476458,1.4779263699632235,1.5061574388551324,0.2648534743871552,0.2566533042222339,0.2730450532574977,0.016391749035263803,3.3930748072195347,3.3086651329198857,3.481442214882761,0.9986226767724021,0.9981349010099917,0.9990742533099398,1.0,1000
LB-MAL5,1.5860655796666605,1.5755670190714473,1.5979665320004113,0.2967148351510765,0.29183697549325754,0.30171297095305766,0.009875995459800113,2.7110185035194374,2.6695196504901504,2.752779027297972,0.9996197986838168,0.9994582135830468,0.999758915675226,1.0,1000
LB-MAL4,1.527323715171083,1.5038121277697758,1.5514633643350406,0.21598035185172107,0.21061869792203083,0.2218405517965606,0.011221853874529758,2.976480234918671,2.8992705731925503,3.054887601747782,0.9988409284113179,0.9984908814522083,0.9991653634060237,1.0,1000
LB-LCY1,1.6002249833404953,1.5871413128497718,1.6138434956910717,0.183593263425109,0.17943322030502648,0.1877750163131488,0.00834179600812232,3.865390406983589,3.758518337101098,3.9584140169407753,0.9986899211064907,0.9984123065963828,0.9989686189405389,1.0,1000
IMIDACLOPRID-IMID2,0.1641593661143809,0.15962855384646682,0.1692959100405247,0.012007631234389632,0.011680124309075345,0.012330943684246339,0.0006508193751709936,7.39351574889194,7.23947174834034,7.5376884841919605,0.9976072103245743,0.9969124709615197,0.9982265924039225,1.0,1000
LAMBDACYHALOTHRINANDLB-LCY01,1.7840590651346442,1.778076467294067,1.7906741403386173,0.1911044085027293,0.18959771983353557,0.192695379498076,0.0030976596645404253,3.882819230537526,3.844615742981169,3.9175577783877586,0.9998439678865756,0.9997885937825105,0.9998970963147045,1.0,1000
LAMBDACYHALOTHRINANDLB-LCY2,1.1691843842134044,1.1578520426141914,1.1810026626418404,0.06504854554184726,0.06225815287417639,0.06778046933747539,0.005522316463299003,1.1579358107759063,0.7875927092418434,1.5134043195491944,0.9861656846311905,0.9840903453844752,0.9881206281362446,1.0,1000
LB-IMID2,1.661586317432947,1.650455279089213,1.6729679204575578,0.1965417641505334,0.1938528866640401,0.19931117500022255,0.005458288336182449,1.2256541197350888,1.1705713598886123,1.2798739413343423,0.9995184375804215,0.9993388510150654,0.9996884635777281,1.0,1000
LB-IMID3,1.4470532809234702,1.425213076537014,1.470726909537711,0.06653293274035277,0.06579965705548675,0.0672995197938621,0.0014998627383753516,1.7286880579942832,1.6290332014085394,1.8293859860887252,0.999119882163045,0.9989204833209319,0.9993105123728592,1.0,1000
LB-IMID8,0.8438444251527923,0.8336276500237523,0.8559883932088206,0.09286005669047358,0.09107246195525813,0.09463412454557561,0.0035616625903174826,1.9160077639083701,1.8391516978988065,1.9881857425298537,0.9991483832442383,0.9987100890777898,0.9995145383866862,1.0,1000
LB-LCY01,1.7840590651346442,1.778076467294067,1.7906741403386173,0.1911044085027293,0.18959771983353557,0.192695379498076,0.0030976596645404253,3.882819230537526,3.844615742981169,3.9175577783877586,0.9998439678865756,0.9997885937825105,0.9998970963147045,1.0,1000
IMIDACLOPRIDANDLB-IMID2,1.633191262663871,1.6310040210168248,1.6354697469996933,0.15162329131018765,0.15084949468638212,0.15234993911294137,0.0015004444265592498,0.6575271849546236,0.6325822074473357,0.6853711794929521,0.9998828869322426,0.9998488932714414,0.9999132527336612,1.0,1000
IMIDACLOPRIDANDLB-IMID3,1.6270388195981422,1.611896141542171,1.642463276191068,0.07594789602539208,0.0748486265038421,0.0769565931083054,0.0021079666044633016,2.9267765549876965,2.7985496966493066,3.0502909239422005,0.998868139973326,0.9985783076416366,0.9991253382662697,1.0,1000
