strain,A_mean,A_median,A_hdi_low,A_hdi_high,mu_mean,mu_median,mu_hdi_low,mu_hdi_high,lam_mean,lam_median,lam_hdi_low,lam_hdi_high
LB-IMID2,1.6315660018147469,1.6303910977347384,1.6131399478097004,1.6590410913923215,0.20102936316702041,0.2016662995586498,0.19023261546573628,0.20885335288227638,1.2886530402397038,1.314006213436962,1.0789243566894142,1.4607588969227308
LB-IMID3,1.5584293398465296,1.5588751261046898,1.538543069569432,1.580162830089265,0.05315659189883012,0.05340257061301805,0.04996858107146959,0.05594356048909278,-0.1676285964601276,-0.07436971169135975,-1.0219801979052887,0.5252947855233705
LB-IMID8,1.2382394898301432,1.2356564547144222,1.2148191625742095,1.2704843640653845,0.04945606548747925,0.049772147297127735,0.04588614609096624,0.05224296187800043,-1.0751225541626903,-1.0131472517855304,-1.9416474858970183,-0.45715620190934203
LB-LCY01,1.7767107302338263,1.7755207269374815,1.7526873992586718,1.8015711613700336,0.19135851126496772,0.190173416575628,0.1831261036728157,0.20031154903757026,3.890539328915738,3.866278160000137,3.711741943167368,4.124583756030047
IMIDACLOPRIDANDLB-IMID2,1.6317705051544678,1.6300621994234534,1.6129992850247565,1.6561352512173801,0.15142038721067294,0.15144876456384349,0.14451472050862046,0.15831564892921662,0.6354268668040156,0.6144759012719616,0.39523454847710227,0.8899702900234652
IMIDACLOPRIDANDLB-IMID3,1.8078257560609117,1.8092586907914607,1.7880860228049633,1.8236792899299306,0.06633308508232312,0.06665087148758564,0.06316711155172024,0.06903431929809441,1.930002331148265,2.002924220955312,1.2883244340832634,2.488129832450691
IMIDACLOPRIDANDLB-IMID5,1.6361664100656115,1.637855268407657,1.6108480531551117,1.6556556257689645,0.0627763474814521,0.06268590624256812,0.059915749967954325,0.06574600879482184,0.8965050204397521,0.8343441691439568,0.32271247754215393,1.4980081725827479
IMIDACLOPRIDANDLB-IMID8,1.7487240454316504,1.7496322254348273,1.718552582489833,1.778797269766283,0.0625175827371909,0.0624550706657563,0.059811691923044474,0.06537176821766146,-1.431716847235243,-1.4395318573885452,-2.019790095412248,-0.9002034159347363
H2O-IMID2,0.2034987066598789,0.2030310557017021,0.18111584509051515,0.22557491762741821,0.007689020544936067,0.007545973938239109,0.0047243247852220005,0.010703517076733587,-0.8825796767860316,-0.012577319034011047,-6.310070578330336,3.7022191778750635
PERMETHRIN-PERM4,0.1676793752504433,0.1569649572064833,0.12866177692137537,0.22956453221100603,0.003731459908841047,0.0035926509432793186,0.002162426027275288,0.005551399838987531,8.253425591794315,7.922418123886831,0.7081379898056466,16.320689773440783
PERMETHRIN-PERM7,0.3323103937250322,0.2849787780440118,0.16881076881460544,0.48741819221384486,0.0098547439002928,0.009781953862442655,0.00666818642902689,0.013274922872023115,14.71832852220353,14.66323596184442,10.122532645933727,17.530672622946742
LAMBDACYHALOTHRINANDLB-LCY3,1.3795400492120184,1.380490940676168,1.3585319029303282,1.3984305493459839,0.058980770680348724,0.058975305433426155,0.055094977819232616,0.0627214946495914,1.5698519078916042,1.6117365802589916,0.8680411320594486,2.237789302865795
PERMETHRINANDLB-PERM4,1.6478297900833152,1.6487717592420723,1.6259057645009718,1.6675908511201638,0.18273800327140247,0.18190073938172274,0.17543109398243162,0.19304628340643815,1.7923432381360622,1.7856319993502083,1.5809716387456767,2.0165557755140213
PERMETHRINANDLB-CYPERM2,0.879016575838814,0.8693136907177881,0.7348461193848657,1.0367067952813116,0.019686703219536705,0.019709565190622596,0.017574582789330204,0.021648591851004678,45.151767909237094,45.41290379027546,43.138780958405015,46.84530189925695
PERMETHRINANDLB-PERM7,1.6620097965138163,1.6605748898613681,1.6440024386695535,1.6867856708323181,0.17810137624588862,0.17798688512423144,0.16994067118958756,0.18683354522545742,0.5356299406194691,0.5342879379418655,0.32796991518724283,0.7444027142210086
PERMETHRINANDLB-CISPERM1,0.5281744784704215,0.5020502937963551,0.3638728831970328,0.7626925737940803,0.007499280253563465,0.007306682161716226,0.005501316074679477,0.009795376641381706,53.287383999441765,52.78299508086257,47.09995167881567,61.384201828239625
LB-PERM4,1.6510843960596644,1.649873452757008,1.6272291785076785,1.6725537303259368,0.18200018298458423,0.181832868920105,0.1750054564196919,0.1928263882436243,1.8029851365221403,1.7773827022722597,1.6001374647520463,2.0143252931707147
LB-PERM7,1.6661993086668938,1.667056202690539,1.6454748170768125,1.6857988592676658,0.17786130357262162,0.17719257246643672,0.17027040107713426,0.18632044286790778,0.5127667644224505,0.4882113815394429,0.33825348193541904,0.7380606887726708
LB-LCY3,1.3747112470503604,1.3732381347534466,1.3592930619559227,1.3981929800943913,0.059460668855876773,0.05974376469583956,0.055162730638304625,0.06259865987107256,1.5682449308954864,1.5841296491175045,0.8942162930695234,2.2464461183677815
H2O-CYPERM2,1.2083708615733186,1.3591497874335574,0.1901896886911585,2.038404180547283,0.11328821672275725,0.11242704647361355,2.23016169985657e-05,0.27851118137290554,10.58869039743257,9.75874401646406,4.5516942206349675,19.402751545621967
DIAZINONANDG-DIAZ8,0.2546154507540635,0.21097468384440948,0.1232859508792975,0.6315722599777746,0.04640798160910057,0.033838586014210414,0.017931850286256157,0.11109672496380238,7.507296106393742,7.388510254700289,5.851016774036148,9.450796980654895
IMIDACLOPRIDANDG-IMID2,0.1931076081823607,0.18754218135939488,0.1544799646948003,0.24161522495469012,0.006895806210477821,0.006381984718091531,0.0041858584956472045,0.010134071229032801,1.8049035300046552,1.145979500226054,-2.578320429062617,7.2512995050365445
IMIDACLOPRIDANDG-IMID6,0.17524275409616302,0.15554000015007108,0.12067234342346722,0.2847570979376919,0.013536780426333547,0.013499216390414005,0.005697468236492746,0.022245962580523308,8.480735534463754,8.976750628723337,4.169139768925761,12.305342680440923
DIAZINONANDLB-DIAZ18,0.55699303185328,0.5551342014722809,0.5010204961291134,0.6164635586035753,0.02746178337753233,0.02711280573007096,0.024312798312222016,0.03191399241415062,0.23084323845626006,0.19624733108145853,-0.7099106638369959,1.4997946609949107
DIAZINONANDLB-DIAZ23,0.5006143413775929,0.4959834586843487,0.4620784738675819,0.5613962998814901,0.044708530572748026,0.04421120632656082,0.034984106273318966,0.05475085473546757,-1.4583081378326088,-1.2893589091578184,-2.8017513811976724,-0.503784799450981
DIAZINONANDLB-DIAZ26,0.5652248981831265,0.5705560909789866,0.48242564737480964,0.6389899866264722,0.03253435790392605,0.03186512950823642,0.02791503999948031,0.03863075710003059,-0.6237377718780579,-0.7040200355332225,-1.5505719032354994,0.6643917308353998
