PERMETHRINANDLB_PERM4,PERMETHRINANDLB_CYPERM2,PERMETHRINANDLB_PERM7,PERMETHRINANDLB_CISPERM1,TIME[H]
1.081866666666667,0.0,1.1955666666666667,0.003066666666666662,8.249745833333334
1.1052666666666666,0.0,1.221366666666667,0.0021333333333332094,8.499743055555555
1.1292666666666666,0.0,1.2462999999999997,0.003200000000000036,8.749732222222223
1.1545333333333334,0.0,1.2699666666666665,0.0024333333333332874,8.999725277777777
1.1797000000000002,0.0,1.2947666666666668,0.0018666666666666276,9.249720555555555
1.2094666666666667,0.0,1.3215333333333337,0.002433333333333343,9.499715555555555
1.2316333333333331,0.0,1.3402333333333334,0.0,9.749706111111111
1.2584333333333333,0.0,1.3632333333333335,0.0011333333333333195,9.999699166666668
1.2850000000000001,0.0,1.3867333333333334,0.0009666666666666712,10.249691944444445
1.3083333333333333,0.0,1.4061333333333337,0.00020000000000003348,10.499687777777776
1.3313666666666664,0.0,1.4262666666666668,0.00023333333333341866,10.749678611111111
1.3506333333333336,0.0,1.4390333333333332,0.0,10.99967138888889
1.3703666666666665,0.0,1.4540333333333333,0.0,11.249666111111111
1.3910666666666665,0.0,1.4705666666666664,0.0,11.499658888888888
1.4080000000000001,0.0,1.4821999999999997,0.0,11.74965138888889
1.426,0.0,1.4948333333333337,0.0,11.999645277777777
1.4429333333333334,0.0,1.5095333333333336,0.0,12.2496375
1.4571666666666667,0.0,1.5192333333333332,0.0,12.499631944444445
1.4712,0.0,1.5314,0.0,12.749624722222222
1.4842,0.0,1.5398999999999998,0.0,12.999617777777779
1.4949999999999997,0.0,1.5485333333333333,0.0,13.249613333333333
1.5059333333333336,0.0,1.556666666666667,0.0,13.49960361111111
1.5154999999999996,0.0,1.5646666666666667,0.0,13.749596666666667
1.5266666666666668,0.0,1.5742000000000003,0.0007333333333333636,13.999589444444444
1.5357333333333332,0.0,1.5814,0.001333333333333353,14.249583333333334
1.5433666666666668,0.0,1.5876666666666666,0.001966666666666672,14.499578611111112
1.5516666666666663,0.0,1.5944,0.001933333333333287,14.749569722222223
1.5590333333333335,0.0,1.6007999999999998,0.0011999999999999789,14.999563333333333
1.5665666666666664,0.0,1.607,0.0016666666666666496,15.249559444444444
1.5719333333333334,0.0,1.6108666666666667,0.0012666666666666937,15.499553055555557
1.574266666666667,0.0,1.6123,0.0,15.749544166666666
1.5824666666666667,0.0,1.6179999999999999,0.0028999999999999027,15.999536111111112
1.5881666666666665,0.0,1.6240333333333332,0.0017333333333333645,16.24953361111111
1.5923333333333334,0.0,1.6256333333333333,0.0011333333333334306,16.499523611111112
1.5959666666666665,0.0,1.6306333333333334,0.001233333333333364,16.7495175
1.6011333333333335,0.0,1.6336,0.002933333333333399,16.999513333333333
1.6086999999999998,0.0,1.6414333333333335,0.005499999999999949,17.249505555555555
1.6100333333333334,0.0,1.6413333333333335,0.005066666666666719,17.499499999999998
1.6113666666666668,0.0,1.6425999999999996,0.004233333333333311,17.74949611111111
1.6143666666666667,0.0,1.6446,0.0029333333333333433,17.99948611111111
1.6182999999999998,0.0,1.6484333333333334,0.002766666666666695,18.24948277777778
1.6223000000000003,0.0,1.650966666666667,0.0035333333333333883,18.499475555555552
1.6234333333333333,0.0,1.6527999999999998,0.0056333333333333235,18.749465555555556
1.6269,0.0,1.6553666666666667,0.006633333333333324,18.99946083333333
1.6319,0.0,1.6617333333333335,0.007633333333333325,19.2494525
1.6328333333333334,0.0,1.6611999999999998,0.0061333333333332685,19.499444999999998
1.6368666666666667,0.0,1.6642333333333337,0.007133333333333269,19.74944027777778
1.6400666666666666,0.0,1.6666000000000005,0.009799999999999975,19.999433333333336
1.6408,0.0,1.6674,0.010666666666666713,20.249426944444448
1.6469999999999998,0.0,1.6728,0.016199999999999992,20.499419166666666
1.6516333333333333,0.0,1.6767333333333332,0.015800000000000036,20.7494125
1.6550666666666671,0.0,1.6799666666666666,0.018500000000000016,20.99940722222222
1.6614000000000004,0.0,1.685633333333333,0.0232,21.249401388888888
1.6619666666666668,0.0,1.6866333333333334,0.02246666666666658,21.499391666666668
1.663266666666667,0.0,1.6875999999999998,0.019566666666666677,21.749388333333332
1.6659666666666668,0.0,1.6887999999999999,0.022066666666666568,21.999378888888888
1.6680000000000004,0.0,1.6907666666666665,0.025533333333333408,22.249371944444444
1.6763,0.0,1.6983333333333333,0.03009999999999996,22.49936472222222
1.6764000000000001,0.0,1.6989,0.02916666666666673,22.749359166666668
1.6828666666666665,0.0,1.7043333333333333,0.03240000000000004,22.999350555555555
1.6838333333333328,0.0,1.7048,0.03419999999999995,23.2493475
1.6844000000000001,0.0,1.7062333333333333,0.031166666666666676,23.499338333333334
1.6901333333333335,0.0,1.7101333333333335,0.03283333333333335,23.74933111111111
1.6913999999999996,0.0,1.7113333333333332,0.03623333333333331,23.99932861111111
1.6940333333333335,0.0,1.7145333333333332,0.0348,24.249319166666666
1.6944333333333335,0.0,1.7147000000000001,0.03500000000000003,24.49931472222222
1.6966666666666663,0.0,1.7157,0.03703333333333331,24.749306944444445
1.7009666666666667,0.0,1.7195666666666665,0.03820000000000007,24.999298055555556
1.7010999999999998,0.0,1.7196666666666667,0.038766666666666644,25.249293333333334
1.7038000000000002,0.0,1.7208333333333332,0.038099999999999995,25.499284444444445
1.7068666666666665,0.0,1.7245333333333335,0.03826666666666664,25.749277777777777
1.7055,0.0,1.7227666666666668,0.03629999999999997,25.999271111111113
1.7101666666666668,0.0,1.7279,0.038433333333333375,26.249264166666666
1.7122666666666666,0.0,1.7285333333333333,0.03849999999999998,26.49926027777778
1.7114666666666665,0.0,1.7276333333333334,0.03543333333333332,26.74925027777778
1.7135666666666665,0.0,1.7297666666666667,0.033733333333333365,26.999244722222222
