TIME[H],DIAZINON_DIAZ11_blanked,DIAZINON_DIAZ18_blanked,DIAZINON_DIAZ21_blanked,DIAZINON_DIAZ22_blanked,DIAZINON_DIAZ23_blanked,DIAZINON_DIAZ26_blanked,DIAZINON_DIAZ28_blanked,DIAZINON_DIAZ8_blanked
29.499177777777778,0.0,0.004766666666666669,0.0,0.0,0.0,0.0,0.0,0.0
29.99916277777778,0.0,0.0038333333333333275,0.0,0.0,0.0,0.0,0.0,0.0
30.49915027777778,0.0,0.0054333333333333456,0.0,0.0,0.0,0.0,0.0,0.0
30.999137222222224,0.0,0.0043666666666666715,0.0,0.0,0.0,0.0,0.0,0.0
31.499126944444445,0.0,0.004933333333333345,0.0,0.0,0.0,0.0,0.0,0.0
31.999109722222222,0.0,0.004866666666666686,0.0,0.0,0.0,0.0,0.0,0.0
32.499097222222225,0.0,0.0049999999999999906,0.0,0.0,0.0,0.0,0.0,0.0
32.99908305555555,0.0,0.0039000000000000146,0.0,0.0,0.0,0.0,0.0,0.0
33.49906861111111,0.0,0.005700000000000011,0.0,0.0,0.0,0.0,0.0,0.0
33.99905527777778,0.0,0.003433333333333344,0.0,0.0,0.0,0.0,0.0,0.0
34.49904194444445,0.0,0.004533333333333306,0.0,0.0,0.0,0.0,0.0,0.0
34.9990275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35.49901444444445,0.0,0.0051666666666666805,0.0,0.0,0.0,0.0,0.0,0.0
35.999000833333334,0.0,0.00393333333333333,0.0,0.0,0.0,0.0,0.0,0.0
36.49898638888889,0.0,0.004999999999999977,0.0,0.0,0.0,0.0,0.0,0.0
36.99897333333333,0.0,0.004533333333333334,0.0,0.0,0.0,0.0,0.0,0.0
37.498959166666666,0.0,0.0032333333333333103,0.0,0.0,0.0,0.0,0.0,0.0
37.99894472222222,0.0,0.0038333333333333552,0.0,0.0,0.0,0.0,0.0,0.0
38.498936111111114,0.0,0.004833333333333356,0.0,0.0,0.0,0.0,0.0,0.0
38.998922500000006,0.0,0.004133333333333364,0.0,0.0,0.0,0.0,0.0,0.0
39.49890583333333,0.0,0.004466666666666674,0.0,0.0,0.0,0.0,0.0,0.0
39.998891111111114,0.0,0.004133333333333336,0.0,0.0,0.0,0.0,0.0,0.0
40.49888138888889,0.0,0.0040999999999999925,0.0,0.0,0.0,0.0,0.0,0.0
40.998868333333334,0.0,0.0040000000000000036,0.0,0.0,0.0,0.0,0.0,0.0
41.49885138888889,0.0,0.0036333333333333218,0.0,0.0,0.0,0.0,0.0,0.0
41.9988375,0.0,0.004533333333333334,0.0,0.0,0.0,0.0,0.0,0.0
42.49882361111111,0.0,0.004466666666666674,0.0,0.0,0.0,0.0,0.0,0.0
42.99881027777778,0.0,0.0040000000000000036,0.0,0.0,0.0,0.0,0.0,0.0
43.49880027777778,0.0,0.0050000000000000044,0.0,0.0,0.0,0.0,0.0,0.0
43.99878527777778,0.0,0.004766666666666655,0.0,0.0,0.0,0.0,0.0,0.0
44.49877138888888,0.0,0.002800000000000011,0.0,0.0,0.0,0.0,0.0,0.0
44.998760555555556,0.0,0.002966666666666673,0.0,0.0,0.0,0.0,0.0,0.0
45.4987475,0.0,0.005433333333333332,0.0,0.0,0.0,0.0,0.0,0.0
45.99873305555556,0.0,0.003799999999999998,0.0,0.0,0.0,0.0,0.0,0.0
46.498717222222226,0.0,0.005266666666666656,0.0,0.0,0.0,0.0,0.0,0.0
46.99870361111112,0.0,0.0040000000000000036,0.0,0.0,0.0,0.0,0.0,0.0
47.49869,0.0,0.004599999999999993,0.0,0.0,0.0,0.0,0.0,0.0
