strain,pesticide,Ki_mean,Ki_median,Ki_hdi_low,Ki_hdi_high,mu_max_mean,mu_max_median,mu_max_hdi_low,mu_max_hdi_high
PERMETHRINANDLB-CISPERM1,PERMETHRIN,34.78592326217563,17.89588415089266,0.9097881452806386,132.69615336454754,1.6956305000673055,1.6670637787633529,0.6439109875852372,3.28378192309851
DIAZINONANDG-DIAZ8,DIAZINON,14.098601591892631,10.01572460312687,0.054772116887441664,45.018615662198215,1.5374677840040636,1.3461546941475304,0.46447217802577623,4.0936631713152964
IMIDACLOPRIDANDG-IMID2,IMIDACLOPRID,6.281404838985231,6.471330817174327,0.042221418107050976,16.199523990462705,1.8611476463138272,1.7399896778209858,0.7372971521991625,3.140812048689226
IMIDACLOPRIDANDG-IMID6,IMIDACLOPRID,6.406499144712318,5.155677276763019,0.04860596531972468,18.149325073058407,1.77640852755319,1.5582951237568663,0.8000966759064027,3.4537136683335787
DIAZINONANDLB-DIAZ18,DIAZINON,10.664864760298547,10.363116812031665,0.0778444734797089,29.708710469597904,1.2135860533597476,1.1895950848027157,0.5513652307631618,2.242716542208222
DIAZINONANDLB-DIAZ23,DIAZINON,9.16602234595117,7.857482733114429,0.09246325634583168,31.853347398641347,1.4898552817030257,1.2154328820185314,0.6192437446280671,3.246445710198856
DIAZINONANDLB-DIAZ26,DIAZINON,7.211203285660128,7.554930569210172,0.06977403191976542,16.22643601593928,1.9422401555119782,1.1913496188879646,0.4610144090172309,4.957055925739677
DIAZINONANDLB-DIAZ28,DIAZINON,8.715523182984388,7.595958680704866,0.09168531462835966,25.25366377210107,2.463765832768451,2.3068354107514373,0.6982648288644469,5.31376008140378
DIAZINONANDLB-DIAZ8,DIAZINON,9.410714865573466,9.231854285991034,0.0746451792027463,28.083052567470858,2.3039826661971645,1.2235995875540464,0.6503490701019293,6.0249507124759605
MALATHIONANDLB-MAL2,MALATHION,39.26589216590492,10.216248032509055,2.407693162909104,261.0715441200473,1.1776341191237965,1.1992276657185326,0.4626192073423672,1.8574443764214457
IMIDACLOPRIDANDLB-IMID1Y,IMIDACLOPRID,5.887890745938025,3.627113542584226,0.05716752178220143,18.818914114484787,2.6644739040362735,2.246755732761332,0.9070187110479815,4.723693553592921
IMIDACLOPRIDANDLB-IMID2,IMIDACLOPRID,6.376786781282331,4.65358901029908,0.052348062948321436,14.536541471946704,2.073721601199191,1.9853279588137507,0.6126442519480478,3.9282210863661575
IMIDACLOPRIDANDLB-IMID3,IMIDACLOPRID,7.9686184927912835,3.3384878145184667,0.031954324705066255,25.06075754240588,2.2132368819667794,1.4046782866304515,0.9240735359948782,5.003678224528421
IMIDACLOPRIDANDLB-IMID5,IMIDACLOPRID,7.032842537781707,7.419166403852863,0.0313322450146476,16.029783510843885,3.8716794710035063,3.7671013068976644,1.1667259753576409,7.1302477957368255
IMIDACLOPRIDANDLB-IMID6,IMIDACLOPRID,5.306929038338899,4.453950623964217,0.04068856746310302,13.821663700345685,1.3806496692021324,1.1526308215713144,0.28787129732075506,3.758797377727628
IMIDACLOPRIDANDLB-IMID8,IMIDACLOPRID,5.401485632100267,4.466104241378726,0.045371886806102005,13.31107877395774,1.3331067451343068,1.2834252102270691,0.3060528616990974,2.2876573289765045
