Name,Date,Cell,Media,Strain
Nate,20220808,F11,G,Imid 1Y
Nate,20220808,G11,G,Imid 8
Nate,20220808,H11,G,Imid 8
Nate,20220808,A12,G,Mal 3
Nate,20220808,B12,G,Mal 7
Nate,20220808,C12,P,Imid 9Y
Nate,20220808,D12,P,Imid 6
Nate,20220808,E12,P,Imid 6
Nate,20220808,F12,G,Imid 3
Nate,20220808,G12,G,Imid 9Y
Nate,20220808,H12,G,Imid 9Y
Nate,20220805,A1,P,Blank Mal
Nate,20220805,B1,P,Blank Imid
Nate,20220805,C1,P,Blank Diaz
Nate,20220805,D1,G,Blank Imid
Nate,20220805,E1,G,Blank Diaz
Nate,20220805,F1,P,Imid 1Y
Nate,20220805,G1,P,Diaz 8
Nate,20220805,H1,P,Diaz 8
Nate,20220805,A2,P,Mal 1
Nate,20220805,B2,P,Mal 1
Nate,20220805,C2,P,Mal 1
Nate,20220805,D2,P,Imid 1Y
Nate,20220805,E2,P,Imid 1Y
Nate,20220805,F2,P,Imid 2
Nate,20220805,G2,P,Diaz 11
Nate,20220805,H2,P,Diaz 11
Nate,20220805,A3,P,Mal 2
Nate,20220805,B3,P,Mal 2
Nate,20220805,C3,P,Mal 2
Nate,20220805,D3,P,Imid 2
Nate,20220805,E3,P,Imid 2
Nate,20220805,F3,P,Imid 5
Nate,20220805,G3,P,Diaz 18
Nate,20220805,H3,P,Diaz 18
Nate,20220805,A4,P,Mal 3
Nate,20220805,B4,P,Mal 3
Nate,20220805,C4,P,Mal 3
Nate,20220805,D4,P,Imid 5
Nate,20220805,E4,P,Imid 5
Nate,20220805,F4,P,Imid 6
Nate,20220805,G4,P,Diaz 21
Nate,20220805,H4,P,Diaz 21
Nate,20220805,A5,P,Mal 4
Nate,20220805,B5,P,Mal 4
Nate,20220805,C5,P,Mal 4
Nate,20220805,D5,P,Imid 6
Nate,20220805,E5,P,Imid 6
Nate,20220805,F5,P,Imid 8
Nate,20220805,G5,P,Diaz 22
Nate,20220805,H5,P,Diaz 22
Nate,20220805,A6,P,Mal 5
Nate,20220805,B6,P,Mal 5
Nate,20220805,C6,P,Mal 5
Nate,20220805,D6,P,Imid 8
Nate,20220805,E6,P,Imid 8
Nate,20220805,F6,P,Imid 9Y
Nate,20220805,G6,P,Diaz 23
Nate,20220805,H6,P,Diaz 23
Nate,20220805,A7,P,Mal 6
Nate,20220805,B7,P,Mal 6
Nate,20220805,C7,P,Mal 6
Nate,20220805,D7,P,Imid 9Y
Nate,20220805,E7,P,Imid 9Y
Nate,20220805,F7,G,Imid 9Y
Nate,20220805,G7,P,Diaz 26
Nate,20220805,H7,P,Diaz 26
Nate,20220805,A8,P,Mal 7
Nate,20220805,B8,P,Mal 7
Nate,20220805,C8,P,Mal 7
Nate,20220805,D8,P,Diaz 26
Nate,20220805,E8,G,Imid 8
Nate,20220805,F8,G,Diaz 8
Nate,20220805,G8,P,Diaz 28
Nate,20220805,H8,P,Diaz 28
Nate,20220805,A9,P,Mal 8
Nate,20220805,B9,P,Mal 8
Nate,20220805,C9,P,Mal 8
Nate,20220805,D9,P,Diaz 28
Nate,20220805,E9,G,Imid 8
Nate,20220805,F9,G,Diaz 8
Nate,20220805,G9,G,Diaz 22
Nate,20220805,H9,,
Nate,20220805,A10,P,Mal 10
Nate,20220805,B10,P,Mal 10
Nate,20220805,C10,P,Mal 10
Nate,20220805,D10,G,Imid 2
Nate,20220805,E10,G,Imid 8
Nate,20220805,F10,G,Diaz 8
Nate,20220805,G10,G,Diaz 28
Nate,20220805,H10,,
Nate,20220805,A11,P,Diaz 8
Nate,20220805,B11,P,Diaz 18
Nate,20220805,C11,P,Diaz 22
Nate,20220805,D11,G,Imid 2
Nate,20220805,E11,G,Imid 9Y
Nate,20220805,F11,G,Diaz 22
Nate,20220805,G11,G,Diaz 28
Nate,20220805,H11,,
Nate,20220805,A12,P,Diaz 11
Nate,20220805,B12,P,Diaz 21
Nate,20220805,C12,P,Diaz 23
Nate,20220805,D12,G,Imid 2
Nate,20220805,E12,G,Imid 9Y
Nate,20220805,F12,G,Diaz 22
Nate,20220805,G12,G,Diaz 28
Nate,20220805,H12,,
Nate,20220730,A1,LB,Blank
Nate,20220730,B1,G,Mal Blank
Nate,20220730,C1,P,Mal Blank
Nate,20220730,F1,G,Diaz Blank
Nate,20220730,G1,P,Mal Blank
Nate,20220730,H1,G,Diaz 8
Nate,20220730,A2,LB,Diaz 8
Nate,20220730,B2,G,Diaz 8
Nate,20220730,C2,P,Diaz 8
Nate,20220730,D2,LB,Diaz 8
Nate,20220730,E2,G,Diaz 8
Nate,20220730,F2,P,Diaz 8
Nate,20220730,G2,LB,Diaz 8
Nate,20220730,H2,G,Diaz 18
Nate,20220730,A3,LB,Diaz 18
Nate,20220730,B3,G,Diaz 18
Nate,20220730,C3,P,Diaz 18
Nate,20220730,D3,LB,Diaz 18
Nate,20220730,E3,G,Diaz 18
Nate,20220730,F3,P,Diaz 18
Nate,20220730,G3,LB,Diaz 18
Nate,20220730,H3,G,Diaz 23
Nate,20220730,A4,LB,Diaz 23
Nate,20220730,B4,G,Diaz 23
Nate,20220730,C4,P,Diaz 23
Nate,20220730,D4,LB,Diaz 23
Nate,20220730,E4,G,Diaz 23
Nate,20220730,F4,P,Diaz 23
Nate,20220730,G4,LB,Diaz 23
Nate,20220730,H4,G,Diaz 26
Nate,20220730,A5,LB,Diaz 26
Nate,20220730,B5,G,Diaz 26
Nate,20220730,C5,P,Diaz 26
Nate,20220730,D5,LB,Diaz 26
Nate,20220730,E5,G,Diaz 26
Nate,20220730,F5,P,Diaz 26
Nate,20220730,G5,LB,Diaz 26
Nate,20220730,H5,G,Diaz 28
Nate,20220730,A6,LB,Diaz 28
Nate,20220730,B6,G,Diaz 28
Nate,20220730,C6,P,Diaz 28
Nate,20220730,D6,LB,Diaz 28
Nate,20220730,E6,G,Diaz 28
Nate,20220730,F6,P,Diaz 28
Nate,20220730,G6,LB,Diaz 28
Nate,20220730,H6,P,Diaz 8
Nate,20220730,A7,G,Mal 1
Nate,20220730,B7,G,Mal 7
Nate,20220730,C7,G,Mal 4 
Nate,20220730,D7,G,Mal 1
Nate,20220730,E7,G,Mal 7
Nate,20220730,F7,LB,Imid 1Y
Nate,20220730,G7,LB,Imid 1Y
Nate,20220730,H7,P,Diaz 18
Nate,20220730,A8,G,Mal 2
Nate,20220730,B8,G,Mal 8
Nate,20220730,C8,G,Mal 5
Nate,20220730,D8,G,Mal 2
Nate,20220730,E8,G,Mal 8
Nate,20220730,F8,LB,Imid 2
Nate,20220730,G8,LB,Imid 2
Nate,20220730,H8,P,Diaz 23
Nate,20220730,A9,G,Mal 3
Nate,20220730,B9,G,Mal 10
Nate,20220730,C9,G,Mal 6
Nate,20220730,D9,G,Mal 3
Nate,20220730,E9,G,Mal 10
Nate,20220730,F9,LB,Imid 3 
Nate,20220730,G9,LB,Imid 3
Nate,20220730,H9,P,Diaz 26
Nate,20220730,A10,G,Mal 4 
Nate,20220730,B10,G,Mal 1
Nate,20220730,C10,G,Mal 7
Nate,20220730,D10,G,Mal 4 
Nate,20220730,E10,LB,Mal 2
Nate,20220730,G10,LB,Imid 1Y
Nate,20220730,H10,P,Diaz 28
Nate,20220730,A11,G,Mal 5 
Nate,20220730,B11,G,Mal 2 
Nate,20220730,C11,G,Mal 8
Nate,20220730,D11,G,Mal 5 
Nate,20220730,E11,LB,Mal 2
Nate,20220730,G11,LB,Imid 2 
Nate,20220730,A12,G,Mal 6
Nate,20220730,B12,G,Mal 3
Nate,20220730,C12,G,Mal 10
Nate,20220730,D12,G,Mal 6
Nate,20220730,E12,LB,Mal 2
Nate,20220730,G12,LB,Imid 3
Nate,20220727,A1,LB,Blank
Nate,20220727,B1,G,Blank
Nate,20220727,C1,P,Blank
Nate,20220727,D1,LB,Imid 1Y
Nate,20220727,E1,G,Imid 1Y
Nate,20220727,G1,LB,Imid 1Y
Nate,20220727,H1,G,Imid 1Y
Nate,20220727,A2,LB,Imid 1Y
Nate,20220727,B2,G,Imid 1Y
Nate,20220727,C2,P,Imid 1Y
Nate,20220727,D2,LB,Imid 2
Nate,20220727,E2,G,Imid 2
Nate,20220727,F2,P,Imid 1Y
Nate,20220727,G2,LB,Imid 2
Nate,20220727,H2,G,Imid 2
Nate,20220727,A3,LB,Imid 2
Nate,20220727,B3,G,Imid 2
Nate,20220727,C3,P,Imid 2
Nate,20220727,D3,LB,Imid 3
Nate,20220727,E3,G,Imid 3
Nate,20220727,F3,P,Imid 2
Nate,20220727,G3,LB,Imid 3
Nate,20220727,H3,G,Imid 3
Nate,20220727,A4,LB,Imid 3
Nate,20220727,B4,G,Imid 3
Nate,20220727,C4,P,Imid 3
Nate,20220727,D4,LB,Imid 5
Nate,20220727,E4,G,Imid 5
Nate,20220727,F4,P,Imid 3
Nate,20220727,G4,LB,Imid 5
Nate,20220727,H4,G,Imid 5
Nate,20220727,A5,LB,Imid 5
Nate,20220727,B5,G,Imid 5
Nate,20220727,C5,P,Imid 5
Nate,20220727,D5,LB,Imid 6
Nate,20220727,E5,G,Imid 6
Nate,20220727,F5,P,Imid 5
Nate,20220727,G5,LB,Imid 6
Nate,20220727,H5,G,Imid 6
Nate,20220727,A6,LB,Imid 6
Nate,20220727,B6,G,Imid 6
Nate,20220727,C6,P,Imid 6
Nate,20220727,D6,LB,Imid 8
Nate,20220727,E6,G,Imid 8
Nate,20220727,F6,P,Imid 6
Nate,20220727,G6,LB,Imid 8
Nate,20220727,H6,G,Imid 8
Nate,20220727,A7,LB,Imid 8
Nate,20220727,B7,G,Imid 8
Nate,20220727,C7,P,Imid 8
Nate,20220727,D7,LB,Imid 9Y
Nate,20220727,E7,G,Imid 9Y
Nate,20220727,F7,P,Imid 8
Nate,20220727,G7,LB,Imid 9Y
Nate,20220727,H7,G,Imid 9Y
Nate,20220727,A8,LB,Imid 9Y
Nate,20220727,B8,G,Imid 9Y
Nate,20220727,C8,P,Imid 9Y
Nate,20220727,F8,P,Imid 9Y
Nate,20220727,D9,P,Imid 1Y
Nate,20220727,E9,P,Imid 2
Nate,20220727,F9,P,Imid 3
Nate,20220727,G9,P,Imid 5
Nate,20220727,H9,P,Imid 6
Nate,20220727,D10,P,Imid 8
Nate,20220727,E10,P,Imid 9Y
Nate,20220724,A1,LB,Blank
Nate,20220724,B1,G,Blank
Nate,20220724,C1,P,Blank
Nate,20220724,D1,LB,Imid 1Y
Nate,20220724,E1,G,Imid 1Y
Nate,20220724,F1,P,Imid 1Y
Nate,20220724,G1,LB,Imid 1Y
Nate,20220724,H1,G,Imid 1Y
Nate,20220724,A2,LB,Imid 1Y
Nate,20220724,B2,G,Imid 1Y
Nate,20220724,C2,P,Imid 1Y
Nate,20220724,D2,LB,Imid 2
Nate,20220724,E2,G,Imid 2
Nate,20220724,F2,P,Imid 2
Nate,20220724,G2,LB,Imid 2
Nate,20220724,H2,G,Imid 2
Nate,20220724,A3,LB,Imid 2
Nate,20220724,B3,G,Imid 2
Nate,20220724,C3,P,Imid 2
Nate,20220724,D3,LB,Imid 3
Nate,20220724,E3,G,Imid 3
Nate,20220724,F3,P,Imid 3
Nate,20220724,G3,LB,Imid 3
Nate,20220724,H3,G,Imid 3
Nate,20220724,A4,LB,Imid 3
Nate,20220724,B4,G,Imid 3
Nate,20220724,C4,P,Imid 3
Nate,20220724,D4,LB,Imid 5
Nate,20220724,E4,G,Imid 5
Nate,20220724,F4,P,Imid 5
Nate,20220724,G4,LB,Imid 5
Nate,20220724,H4,G,Imid 5
Nate,20220724,A5,LB,Imid 5
Nate,20220724,B5,G,Imid 5
Nate,20220724,C5,P,Imid 5
Nate,20220724,D5,LB,Imid 6
Nate,20220724,E5,G,Imid 6
Nate,20220724,F5,P,Imid 6
Nate,20220724,G5,LB,Imid 6
Nate,20220724,H5,G,Imid 6
Nate,20220724,A6,LB,Imid 6
Nate,20220724,B6,G,Imid 6
Nate,20220724,C6,P,Imid 6
Nate,20220724,D6,LB,Imid 8
Nate,20220724,E6,G,Imid 8
Nate,20220724,F6,P,Imid 8
Nate,20220724,G6,LB,Imid 8
Nate,20220724,H6,G,Imid 8
Nate,20220724,A7,LB,Imid 8
Nate,20220724,B7,G,Imid 8
Nate,20220724,C7,P,Imid 8
Nate,20220724,D7,LB,Imid 9Y
Nate,20220724,E7,G,Imid 9Y
Nate,20220724,F7,P,Imid 9Y
Nate,20220724,G7,LB,Imid 9Y
Nate,20220724,H7,G,Imid 9Y
Nate,20220724,A8,LB,Imid 9Y
Nate,20220724,B8,G,Imid 9Y
Nate,20220724,C8,P,Imid 9Y
Nate,20220724,D9,P,Imid 1Y
Nate,20220724,E9,P,Imid 2
Nate,20220724,F9,P,Imid 3
Nate,20220724,G9,P,Imid 5
Nate,20220724,H9,P,Imid 6
Nate,20220724,D10,P,Imid 8
Nate,20220724,E10,P,Imid 9Y
