strain,group,method,trunc_idx,trunc_time,n_points,fit_success,r_squared,rmse,gompertz_A,gompertz_mu,gompertz_lambda,a_err_pct,mu_err_pct
LB-MAL4,Group2,gp_derivative,52.0,12.99961361111111,53.0,True,0.9986548735089994,0.019362934065797668,1.5181241051753793,0.21676929729490238,3.0158965413121757,0.8162856407143725,1.4325652249980656
LB-MAL4,Group2,changepoint,,,,False,,,,,,,
LB-MAL4,Group2,consensus,52.0,12.99961361111111,53.0,True,0.9986548735089994,0.019362934065797668,1.5181241051753793,0.21676929729490238,3.0158965413121757,0.8162856407143725,1.4325652249980656
LB-LCY1,Group2,first_peak,79.0,19.74942805555556,80.0,True,0.998640365771174,0.02218456870305555,1.603201134435136,0.1833913124815749,3.844155039990735,0.4594349559833272,1.2387666648676159
LB-LCY1,Group2,stationary_phase,95.0,23.74932111111111,96.0,True,0.9986005227135263,0.023032147041816185,1.631136532301197,0.1789469019681449,3.7803580659996103,0.32696007780260944,1.153663890769876
LB-LCY1,Group2,adaptive_r2,49.0,12.24963361111111,50.0,True,0.9998201152118305,0.006279622475437795,1.4247608991360503,0.20207863054957328,4.033929847693749,0.4722858422406367,0.5384382179003259
LB-LCY1,Group2,gp_derivative,130.0,32.49908555555555,131.0,True,0.998532981960094,0.023072605320869143,1.6564361418904432,0.17391438966695036,3.696984006500037,0.20195153054541268,1.0261268294204635
LB-LCY1,Group2,changepoint,,,,False,,,,,,,
LB-LCY1,Group2,consensus,95.0,23.74932111111111,96.0,True,0.9986005227135263,0.023032147041816185,1.631136532301197,0.1789469019681449,3.7803580659996103,0.32696007780260944,1.153663890769876
H2O-MAL8,Group2,first_peak,226.0,56.49842916666667,227.0,True,0.9862826097405242,0.004337907700802264,0.11496460775813733,0.005685861982184142,2.289741827277642,0.43538284293848095,1.9710187392055534
H2O-MAL8,Group2,stationary_phase,166.0,41.49884,167.0,True,0.9889900899946671,0.003910875300477095,0.10928614004718416,0.006273662489585355,2.850392383918046,0.587072585601425,2.1075753363564957
H2O-MAL8,Group2,adaptive_r2,62.0,15.499544444444444,63.0,True,0.9937977468200662,0.0021416524559725353,0.07578361456150255,0.009321304438289935,4.113899195590009,1.7520832390909953,2.9579860171443983
H2O-MAL8,Group2,gp_derivative,209.0,52.24854194444444,210.0,True,0.9869451654748533,0.004252527651411484,0.11364240793920578,0.005825864203633365,2.4397223597966224,0.4695111708203982,2.0095938476470825
H2O-MAL8,Group2,changepoint,,,,False,,,,,,,
H2O-MAL8,Group2,consensus,209.0,52.24854194444444,210.0,True,0.9869451654748533,0.004252527651411484,0.11364240793920578,0.005825864203633365,2.4397223597966224,0.4695111708203982,2.0095938476470825
H2O-MAL10,Group2,first_peak,398.0,99.49725944444444,399.0,True,0.3969228230988313,0.0023814171622712627,0.010000000000000002,0.0010000000000000002,61.1281617119604,2.6219736853310764,16.46363534936729
H2O-MAL10,Group2,stationary_phase,399.0,99.74725277777776,400.0,True,0.40544035838379033,0.0023785375552367923,0.010000000000000002,0.0010000000000000002,61.12814637723821,2.603237907280422,16.432975620117734
H2O-MAL10,Group2,adaptive_r2,399.0,99.74725277777776,400.0,True,0.40544035838379033,0.0023785375552367923,0.010000000000000002,0.0010000000000000002,61.12814637723821,2.603237907280422,16.432975620117734
H2O-MAL10,Group2,gp_derivative,399.0,99.74725277777776,400.0,True,0.40544035838379033,0.0023785375552367923,0.010000000000000002,0.0010000000000000002,61.12814637723821,2.603237907280422,16.432975620117734
H2O-MAL10,Group2,changepoint,,,,False,,,,,,,
H2O-MAL10,Group2,consensus,399.0,99.74725277777776,400.0,True,0.40544035838379033,0.0023785375552367923,0.010000000000000002,0.0010000000000000002,61.12814637723821,2.603237907280422,16.432975620117734
H2O-MAL1,Group2,first_peak,398.0,99.49725944444444,399.0,True,0.3969228230988313,0.0023814171622712627,0.010000000000000002,0.0010000000000000002,61.1281617119604,2.6219736853310764,16.46363534936729
H2O-MAL1,Group2,stationary_phase,399.0,99.74725277777776,400.0,True,0.40544035838379033,0.0023785375552367923,0.010000000000000002,0.0010000000000000002,61.12814637723821,2.603237907280422,16.432975620117734
H2O-MAL1,Group2,adaptive_r2,399.0,99.74725277777776,400.0,True,0.40544035838379033,0.0023785375552367923,0.010000000000000002,0.0010000000000000002,61.12814637723821,2.603237907280422,16.432975620117734
H2O-MAL1,Group2,gp_derivative,399.0,99.74725277777776,400.0,True,0.40544035838379033,0.0023785375552367923,0.010000000000000002,0.0010000000000000002,61.12814637723821,2.603237907280422,16.432975620117734
H2O-MAL1,Group2,changepoint,,,,False,,,,,,,
H2O-MAL1,Group2,consensus,399.0,99.74725277777776,400.0,True,0.40544035838379033,0.0023785375552367923,0.010000000000000002,0.0010000000000000002,61.12814637723821,2.603237907280422,16.432975620117734
IMIDACLOPRID-IMID2,Group3,first_peak,88.0,21.999368333333333,89.0,True,0.9975319367124496,0.0025597512594304475,0.1650416499613895,0.011959113659897425,7.336000979212905,1.541089408883844,1.3799196169964816
IMIDACLOPRID-IMID2,Group3,stationary_phase,211.0,52.74852888888889,212.0,True,0.9958677655727327,0.005606256122334153,0.24650553625565125,0.009616481538442669,6.5202595058871236,0.4483757311023087,1.1828919932230983
IMIDACLOPRID-IMID2,Group3,adaptive_r2,65.0,16.249525277777778,66.0,True,0.9979933537650681,0.0015450146352441391,0.1211417285018424,0.012636194264227704,7.29358185739374,2.179340961220605,1.403038031847528
IMIDACLOPRID-IMID2,Group3,gp_derivative,206.0,51.49856305555555,207.0,True,0.9958809918735437,0.005571652679948286,0.24544484368477076,0.009665727243741267,6.554259131544906,0.46729325517854625,1.1956255673363319
IMIDACLOPRID-IMID2,Group3,changepoint,,,,False,,,,,,,
IMIDACLOPRID-IMID2,Group3,consensus,206.0,51.49856305555555,207.0,True,0.9958809918735437,0.005571652679948286,0.24544484368477076,0.009665727243741267,6.554259131544906,0.46729325517854625,1.1956255673363319
IMIDACLOPRID-IMID8,Group3,first_peak,396.0,98.99727305555555,397.0,True,0.9840404416994423,0.0035269583356617434,0.11048208644686142,0.008580016760837614,2.7646208134391483,0.18687333192720704,1.8778532509650079
IMIDACLOPRID-IMID8,Group3,stationary_phase,141.0,35.24901083333333,142.0,True,0.9959238545333754,0.002360645546076623,0.1048734632744898,0.009763422048195294,3.2655026795591247,0.31274770294495785,1.5646182712363252
IMIDACLOPRID-IMID8,Group3,adaptive_r2,67.0,16.749513888888888,68.0,True,0.9973302511395867,0.0017826293230248742,0.0946565063809881,0.01125165903961634,3.6535070992453944,0.8922848200552006,1.8440307339575492
IMIDACLOPRID-IMID8,Group3,gp_derivative,105.0,26.249255555555557,106.0,True,0.9960214564633487,0.002389656834518383,0.10293163650834392,0.01011079287366955,3.3779293370914116,0.48817206103374455,1.7785991757358337
IMIDACLOPRID-IMID8,Group3,changepoint,,,,False,,,,,,,
IMIDACLOPRID-IMID8,Group3,consensus,141.0,35.24901083333333,142.0,True,0.9959238545333754,0.002360645546076623,0.1048734632744898,0.009763422048195294,3.2655026795591247,0.31274770294495785,1.5646182712363252
LAMBDACYHALOTHRINANDLB-LCY01,Group3,first_peak,77.0,19.249443333333332,78.0,True,0.9998237675079426,0.008571118681290416,1.7806188472890536,0.19131177230597357,3.9020415454969286,0.19049338109056427,0.43566240231174497
LAMBDACYHALOTHRINANDLB-LCY01,Group3,stationary_phase,92.0,22.999340277777776,93.0,True,0.9998567748947418,0.00793083581590309,1.7776675106739352,0.19170740063878117,3.9076925879095983,0.11386977830315607,0.36915199620394495
LAMBDACYHALOTHRINANDLB-LCY01,Group3,adaptive_r2,108.0,26.99923194444445,109.0,True,0.9998741485531252,0.007416658975953469,1.7781205506933917,0.19161303238251617,3.9061685690642993,0.0786809899257798,0.32506520227386865
LAMBDACYHALOTHRINANDLB-LCY01,Group3,gp_derivative,122.0,30.499136944444444,123.0,True,0.9998578800632826,0.0077820275240181955,1.7818806538375564,0.19085147627794435,3.8938514064320486,0.06863956983061159,0.3287135609467008
LAMBDACYHALOTHRINANDLB-LCY01,Group3,changepoint,,,,False,,,,,,,
LAMBDACYHALOTHRINANDLB-LCY01,Group3,consensus,92.0,22.999340277777776,93.0,True,0.9998567748947418,0.00793083581590309,1.7776675106739352,0.19170740063878117,3.9076925879095983,0.11386977830315607,0.36915199620394495
LAMBDACYHALOTHRINANDLB-LCY2,Group3,first_peak,79.0,19.74942861111111,80.0,True,0.9978552568210536,0.01505488536752293,1.0459774135579094,0.07971742753577378,2.180395192253572,0.7939114726305622,1.2175547231165273
LAMBDACYHALOTHRINANDLB-LCY2,Group3,stationary_phase,177.0,44.24876083333333,178.0,True,0.9862422608638094,0.042604529278625985,1.170715284353068,0.06504832384795113,1.1304193321842557,0.5236977745518651,2.1078095788985824
LAMBDACYHALOTHRINANDLB-LCY2,Group3,adaptive_r2,106.0,26.49924888888889,107.0,True,0.9985408984796711,0.013277364751995304,1.05692936458364,0.07888092227785613,2.1401046451313266,0.33861789898111605,0.9122170048162104
LAMBDACYHALOTHRINANDLB-LCY2,Group3,gp_derivative,171.0,42.748805,172.0,True,0.9873829191730014,0.04070566879432338,1.160175456532203,0.0663393434122253,1.2494155607392499,0.5193646508701659,2.061264919638432
LAMBDACYHALOTHRINANDLB-LCY2,Group3,changepoint,,,,False,,,,,,,
LAMBDACYHALOTHRINANDLB-LCY2,Group3,consensus,171.0,42.748805,172.0,True,0.9873829191730014,0.04070566879432338,1.160175456532203,0.0663393434122253,1.2494155607392499,0.5193646508701659,2.061264919638432
LB-IMID2,Group3,first_peak,57.0,14.249579444444445,58.0,True,0.9994750986668247,0.012226336833114271,1.6593222648088153,0.19660500400474376,1.2376945386955402,0.35953722702621055,0.7339525394056761
LB-IMID2,Group3,stationary_phase,72.0,17.999475555555556,73.0,True,0.9993798488882647,0.01345936678854703,1.634795996781777,0.20000534915432874,1.279352663491367,0.22756029884704337,0.7351662447735074
LB-IMID2,Group3,adaptive_r2,42.0,10.499682222222225,43.0,True,0.9995818152812455,0.009764824447660615,1.7277606744674052,0.19225532247880903,1.196240078210342,0.7640887159709336,0.6532078063272719
LB-IMID2,Group3,gp_derivative,72.0,17.999475555555556,73.0,True,0.9993798488882647,0.01345936678854703,1.634795996781777,0.20000534915432874,1.279352663491367,0.22756029884704337,0.7351662447735074
LB-IMID2,Group3,changepoint,,,,False,,,,,,,
LB-IMID2,Group3,consensus,72.0,17.999475555555556,73.0,True,0.9993798488882647,0.01345936678854703,1.634795996781777,0.20000534915432874,1.279352663491367,0.22756029884704337,0.7351662447735074
LB-IMID3,Group3,first_peak,92.0,22.999340277777776,93.0,True,0.9990921698050419,0.011259984942025989,1.4476628615883664,0.06650986538963666,1.714654005937868,0.8159665211890831,0.5965262170055181
LB-IMID3,Group3,stationary_phase,281.0,70.24805277777777,282.0,True,0.9817995188754136,0.06119030568920188,1.5535090011359802,0.053808647569300705,2.868808217858276e-12,0.43977391303373686,1.8476920512830244
LB-IMID3,Group3,adaptive_r2,57.0,14.249579444444445,58.0,True,0.9994248594122869,0.0057276372381726065,1.1264001615070276,0.06533913659969633,1.4000883941656128,1.3586608895911283,0.45097038932628164
LB-IMID3,Group3,gp_derivative,379.0,94.7473863888889,380.0,True,0.9794479851384996,0.0635025736408893,1.6108860122079385,0.05168617333806929,9.651648681887096e-15,0.3154561995940513,1.685135503388882
LB-IMID3,Group3,changepoint,,,,False,,,,,,,
LB-IMID3,Group3,consensus,281.0,70.24805277777777,282.0,True,0.9817995188754136,0.06119030568920188,1.5535090011359802,0.053808647569300705,2.868808217858276e-12,0.43977391303373686,1.8476920512830244
LB-IMID5,Group3,first_peak,115.0,28.74918472222222,116.0,True,0.9980562872922913,0.01841205059204816,1.3579997796278194,0.06767650362285287,2.6632575639542497,0.6558574892888237,0.9437014298792075
LB-IMID5,Group3,stationary_phase,289.0,72.2479975,290.0,True,0.98621323710287,0.05196102792031884,1.461426882719702,0.05876631425905864,1.6237915287869562,0.34425021959396057,1.6742487757507751
LB-IMID5,Group3,adaptive_r2,390.0,97.49731055555556,391.0,True,0.9736458073827415,0.07054397690906462,1.544510342795078,0.050505200756708314,0.13809514974713094,0.34999556193069586,1.9496020960475966
LB-IMID5,Group3,gp_derivative,283.0,70.74803805555555,284.0,True,0.9873976623737541,0.04966912193057539,1.454388092033187,0.05944300939203198,1.7204912371428138,0.3360278561653125,1.6208595629667766
LB-IMID5,Group3,changepoint,,,,False,,,,,,,
LB-IMID5,Group3,consensus,289.0,72.2479975,290.0,True,0.98621323710287,0.05196102792031884,1.461426882719702,0.05876631425905864,1.6237915287869562,0.34425021959396057,1.6742487757507751
LB-IMID8,Group3,first_peak,55.0,13.749595833333332,56.0,True,0.9990571922909139,0.008197800215306984,0.8412091818633272,0.09300149659617378,1.9399765777863884,0.6883855622719594,1.0047659614760476
LB-IMID8,Group3,stationary_phase,185.0,46.24870555555555,186.0,True,0.9695862235509087,0.06250294020965244,1.2197649589348825,0.053984265107190135,3.3386310493743514e-18,0.8625807156401177,2.8919272504796476
LB-IMID8,Group3,adaptive_r2,65.0,16.249525277777778,66.0,True,0.9992265332438803,0.0077837267355708025,0.8337202376055391,0.0936257440389734,1.9548465785147981,0.4023390734648018,0.8792844361708806
LB-IMID8,Group3,gp_derivative,223.0,55.74844944444445,224.0,True,0.9723307953682431,0.05982123757099267,1.2520110225986458,0.05261660933600771,7.229088923788708e-17,0.62301136926224,2.4996574726256946
LB-IMID8,Group3,changepoint,,,,False,,,,,,,
LB-IMID8,Group3,consensus,185.0,46.24870555555555,186.0,True,0.9695862235509087,0.06250294020965244,1.2197649589348825,0.053984265107190135,3.3386310493743514e-18,0.8625807156401177,2.8919272504796476
LB-LCY01,Group3,first_peak,77.0,19.249443333333332,78.0,True,0.9998237675079426,0.008571118681290416,1.7806188472890536,0.19131177230597357,3.9020415454969286,0.19049338109056427,0.43566240231174497
LB-LCY01,Group3,stationary_phase,92.0,22.999340277777776,93.0,True,0.9998567748947418,0.00793083581590309,1.7776675106739352,0.19170740063878117,3.9076925879095983,0.11386977830315607,0.36915199620394495
LB-LCY01,Group3,adaptive_r2,108.0,26.99923194444445,109.0,True,0.9998741485531252,0.007416658975953469,1.7781205506933917,0.19161303238251617,3.9061685690642993,0.0786809899257798,0.32506520227386865
LB-LCY01,Group3,gp_derivative,122.0,30.499136944444444,123.0,True,0.9998578800632826,0.0077820275240181955,1.7818806538375564,0.19085147627794435,3.8938514064320486,0.06863956983061159,0.3287135609467008
LB-LCY01,Group3,changepoint,,,,False,,,,,,,
LB-LCY01,Group3,consensus,92.0,22.999340277777776,93.0,True,0.9998567748947418,0.00793083581590309,1.7776675106739352,0.19170740063878117,3.9076925879095983,0.11386977830315607,0.36915199620394495
LB-LCY2,Group3,first_peak,79.0,19.74942861111111,80.0,True,0.9978552568210536,0.01505488536752293,1.0459774135579094,0.07971742753577378,2.180395192253572,0.7939114726305622,1.2175547231165273
LB-LCY2,Group3,stationary_phase,177.0,44.24876083333333,178.0,True,0.9862422608638094,0.042604529278625985,1.170715284353068,0.06504832384795113,1.1304193321842557,0.5236977745518651,2.1078095788985824
LB-LCY2,Group3,adaptive_r2,106.0,26.49924888888889,107.0,True,0.9985408984796711,0.013277364751995304,1.05692936458364,0.07888092227785613,2.1401046451313266,0.33861789898111605,0.9122170048162104
LB-LCY2,Group3,gp_derivative,171.0,42.748805,172.0,True,0.9873829191730014,0.04070566879432338,1.160175456532203,0.0663393434122253,1.2494155607392499,0.5193646508701659,2.061264919638432
LB-LCY2,Group3,changepoint,,,,False,,,,,,,
LB-LCY2,Group3,consensus,171.0,42.748805,172.0,True,0.9873829191730014,0.04070566879432338,1.160175456532203,0.0663393434122253,1.2494155607392499,0.5193646508701659,2.061264919638432
IMIDACLOPRIDANDLB-IMID2,Group3,first_peak,69.0,17.24949777777778,70.0,True,0.9998471090915187,0.006161863190711183,1.6364142661873147,0.15137534886466053,0.6514786786385451,0.1660947854219807,0.3409171665058452
IMIDACLOPRIDANDLB-IMID2,Group3,stationary_phase,95.0,23.749322222222226,96.0,True,0.9998789513304167,0.005557142008873863,1.6333556557767641,0.15163466058433128,0.6563898122009613,0.07588918710652261,0.26541936256366294
IMIDACLOPRIDANDLB-IMID2,Group3,adaptive_r2,98.0,24.4993,99.0,True,0.9998818046267668,0.005476840323213393,1.63323319879736,0.15165299838237298,0.656808684539018,0.07086228090767904,0.258650299172333
IMIDACLOPRIDANDLB-IMID2,Group3,gp_derivative,95.0,23.749322222222226,96.0,True,0.9998789513304167,0.005557142008873863,1.6333556557767641,0.15163466058433128,0.6563898122009613,0.07588918710652261,0.26541936256366294
IMIDACLOPRIDANDLB-IMID2,Group3,changepoint,,,,False,,,,,,,
IMIDACLOPRIDANDLB-IMID2,Group3,consensus,95.0,23.749322222222226,96.0,True,0.9998789513304167,0.005557142008873863,1.6333556557767641,0.15163466058433128,0.6563898122009613,0.07588918710652261,0.26541936256366294
IMIDACLOPRIDANDLB-IMID3,Group3,first_peak,123.0,30.749132222222222,124.0,True,0.998844075707153,0.016949839852589084,1.6281395637873444,0.07592499811981325,2.9097820368470066,0.4886609360006463,0.7003410255262754
IMIDACLOPRIDANDLB-IMID3,Group3,stationary_phase,297.0,74.24794388888888,298.0,True,0.9955670339706746,0.03668928271093493,1.8046829440313725,0.06605434910530922,1.8832425750655417,0.20542405213988968,0.9264873008192445
IMIDACLOPRIDANDLB-IMID3,Group3,adaptive_r2,157.0,39.2489025,158.0,True,0.9988557622384683,0.01820706685299346,1.6792512626839582,0.0740522212498564,2.7747613666505404,0.29288708089839505,0.6418029047117815
IMIDACLOPRIDANDLB-IMID3,Group3,gp_derivative,396.0,98.99727305555555,397.0,True,0.9914927200113216,0.049048795228884084,1.862680341954756,0.06132467487636681,1.1480180412334,0.19940801809582065,1.1072102225063722
IMIDACLOPRIDANDLB-IMID3,Group3,changepoint,,,,False,,,,,,,
IMIDACLOPRIDANDLB-IMID3,Group3,consensus,297.0,74.24794388888888,298.0,True,0.9955670339706746,0.03668928271093493,1.8046829440313725,0.06605434910530922,1.8832425750655417,0.20542405213988968,0.9264873008192445
IMIDACLOPRIDANDLB-IMID5,Group3,first_peak,134.0,33.49905416666667,135.0,True,0.9965038608641474,0.027128015674396263,1.5257218419904006,0.06717865258681739,1.346085874831225,0.6599495275539464,1.151884055626686
IMIDACLOPRIDANDLB-IMID5,Group3,stationary_phase,224.0,55.99843944444445,225.0,True,0.9969305087372226,0.027518761532494395,1.633518588401402,0.06255282479827373,0.8631706163360804,0.2479823674701702,0.8555802505748807
IMIDACLOPRIDANDLB-IMID5,Group3,adaptive_r2,61.0,15.2495525,62.0,True,0.9992978151115864,0.007591208946755896,1.1322605555192913,0.07645639269914224,1.8034452993388,1.0410096985270947,0.6169237320461106
IMIDACLOPRIDANDLB-IMID5,Group3,gp_derivative,395.0,98.74727916666669,396.0,True,0.9953041088918968,0.03138247385091425,1.6867274225595124,0.05851944274827299,0.2428352923548438,0.13609391054245648,0.8072189933091976
IMIDACLOPRIDANDLB-IMID5,Group3,changepoint,,,,False,,,,,,,
IMIDACLOPRIDANDLB-IMID5,Group3,consensus,224.0,55.99843944444445,225.0,True,0.9969305087372226,0.027518761532494395,1.633518588401402,0.06255282479827373,0.8631706163360804,0.2479823674701702,0.8555802505748807
IMIDACLOPRIDANDLB-IMID8,Group3,first_peak,56.0,13.999588888888889,57.0,True,0.9979164215136589,0.016745411150344967,1.1433368554174705,0.1277439708772679,2.1932978578048745,1.0113360498997126,1.5077379288469928
IMIDACLOPRIDANDLB-IMID8,Group3,stationary_phase,191.0,47.74866611111111,192.0,True,0.9645563848542548,0.09460378860704233,1.7120820176553218,0.06935480317541062,1.0225431120724793e-15,0.990258308352756,3.0557269931208797
IMIDACLOPRIDANDLB-IMID8,Group3,adaptive_r2,42.0,10.499682222222225,43.0,True,0.9986226453495671,0.011461712920735318,1.3386109224945992,0.12354478363838003,2.1768630677042653,2.4898943773277877,0.9115671182866569
IMIDACLOPRIDANDLB-IMID8,Group3,gp_derivative,395.0,98.74727916666669,396.0,True,0.9723574402613195,0.0796802120405429,1.846977558569705,0.06398844614301559,4.221610666875955e-17,0.31517236629136336,1.878790913594184
IMIDACLOPRIDANDLB-IMID8,Group3,changepoint,,,,False,,,,,,,
IMIDACLOPRIDANDLB-IMID8,Group3,consensus,191.0,47.74866611111111,192.0,True,0.9645563848542548,0.09460378860704233,1.7120820176553218,0.06935480317541062,1.0225431120724793e-15,0.990258308352756,3.0557269931208797
H2O-IMID2,Group3,first_peak,60.0,14.999558888888888,61.0,True,0.9846973579681222,0.00429453932500005,0.15813213072741436,0.009224344634307853,4.502698577796399e-17,4.7647947844882665,2.656360893847507
H2O-IMID2,Group3,stationary_phase,248.0,61.99827527777778,249.0,True,0.9829285597733001,0.007202720625701913,0.19992492060619996,0.00784405370519831,5.362303528466539e-16,0.4284086304319896,1.7993424983538155
H2O-IMID2,Group3,adaptive_r2,93.0,23.249336111111113,94.0,True,0.9930852804361776,0.00366156843923774,0.1614693866985356,0.009131829119382996,1.2456678280558554e-19,1.1829496990485813,1.8226766768927705
H2O-IMID2,Group3,gp_derivative,291.0,72.74798805555555,292.0,True,0.9794727494408032,0.007914049453572663,0.2050675026422954,0.007624262561329672,5.546061713896357e-16,0.3845492069608999,1.8221044569653762
H2O-IMID2,Group3,changepoint,,,,False,,,,,,,
H2O-IMID2,Group3,consensus,248.0,61.99827527777778,249.0,True,0.9829285597733001,0.007202720625701913,0.19992492060619996,0.00784405370519831,5.362303528466539e-16,0.4284086304319896,1.7993424983538155
H2O-IMID5,Group3,first_peak,226.0,56.49842666666667,227.0,True,0.9421263536756125,0.001278102717718878,0.015971870504458103,0.0010000000000000002,3.9262782976888304,0.8139730635518304,4.475928529605475
H2O-IMID5,Group3,stationary_phase,158.0,39.498891944444445,159.0,True,0.9490937805121323,0.0011694898115451188,0.014719437866176148,0.0010000000000003875,3.4660226901236246,1.2168781052049877,4.92455112853323
H2O-IMID5,Group3,adaptive_r2,399.0,99.74724916666666,400.0,True,0.93796849580403,0.0011323438852448313,0.016201440728342283,0.0010000000000000002,4.021673876343156,0.4281813522656639,3.6924703236732457
H2O-IMID5,Group3,gp_derivative,220.0,54.998467777777776,221.0,True,0.9428878693980823,0.001270031056247682,0.01589385885259107,0.0010000000000000007,3.8945853886023087,0.8355410896488314,4.496627603599762
H2O-IMID5,Group3,changepoint,,,,False,,,,,,,
H2O-IMID5,Group3,consensus,220.0,54.998467777777776,221.0,True,0.9428878693980823,0.001270031056247682,0.01589385885259107,0.0010000000000000007,3.8945853886023087,0.8355410896488314,4.496627603599762
PERMETHRIN-PERM4,Group4,first_peak,167.0,41.748846666666665,168.0,True,0.9957733449860956,0.0027403341111988046,0.11592812757909816,0.005992735546015405,14.79580024073874,0.9623326783196415,1.5876207019290371
PERMETHRIN-PERM4,Group4,stationary_phase,339.0,84.74769055555555,340.0,True,0.9917047168000818,0.0052845333635321646,0.15482115258660226,0.004463077829281661,12.8309014409593,0.44340190940550345,1.4418242929727778
PERMETHRIN-PERM4,Group4,adaptive_r2,160.0,39.998893888888894,161.0,True,0.9959777880797324,0.002573607245490384,0.11277121676745157,0.006100271924011401,14.859844938654554,1.0098880714502294,1.5856685081144604
PERMETHRIN-PERM4,Group4,gp_derivative,381.0,95.2474111111111,382.0,True,0.9877091543968439,0.00661464013569625,0.16257164988425027,0.00412284579030316,11.993886796350234,0.4802241638847433,1.6016354638748818
PERMETHRIN-PERM4,Group4,changepoint,,,,False,,,,,,,
PERMETHRIN-PERM4,Group4,consensus,339.0,84.74769055555555,340.0,True,0.9917047168000818,0.0052845333635321646,0.15482115258660226,0.004463077829281661,12.8309014409593,0.44340190940550345,1.4418242929727778
PERMETHRIN-PERM7,Group4,first_peak,106.0,26.49926027777778,107.0,True,0.9979663950698576,0.0017522723005415218,0.16217785647136698,0.010858695997101497,14.704767809957819,2.421701212453523,0.9490147098826988
PERMETHRIN-PERM7,Group4,stationary_phase,162.0,40.49888083333333,163.0,True,0.9986702414281093,0.00269064955122577,0.20829626172974325,0.010830729767422605,14.937960705985986,0.5942307796603689,0.8889304178381519
PERMETHRIN-PERM7,Group4,adaptive_r2,233.0,58.248404722222226,234.0,True,0.9988627056081594,0.0028816225026426175,0.21096707579034196,0.01072316837111878,14.894632924856191,0.2123860358855822,0.7518879342760967
PERMETHRIN-PERM7,Group4,gp_derivative,199.0,49.748629722222226,200.0,True,0.9987249000274054,0.002955161167705472,0.21179767338494787,0.01066049793737607,14.860301672305871,0.3294671312064376,0.8326450087022423
PERMETHRIN-PERM7,Group4,changepoint,,,,False,,,,,,,
PERMETHRIN-PERM7,Group4,consensus,162.0,40.49888083333333,163.0,True,0.9986702414281093,0.00269064955122577,0.20829626172974325,0.010830729767422605,14.937960705985986,0.5942307796603689,0.8889304178381519
LAMBDACYHALOTHRIN-LCY3,Group4,first_peak,381.0,95.2474111111111,382.0,True,0.9537016339264494,0.003740571915556921,0.05276288820163693,0.0010000000000000002,22.328019475131256,1.7875048951015458,2.882936422995478
LAMBDACYHALOTHRIN-LCY3,Group4,stationary_phase,368.0,91.99749583333332,369.0,True,0.9555894787714967,0.003501559341499574,0.04980239500418141,0.0010000000000000002,21.674949985239742,1.7292446674771276,2.914616857396875
LAMBDACYHALOTHRIN-LCY3,Group4,adaptive_r2,338.0,84.4976975,339.0,True,0.9582908953450543,0.003072640261485613,0.04438762107662128,0.0010000000000000002,20.47965244590711,1.7115276370833634,3.0111378316271225
LAMBDACYHALOTHRIN-LCY3,Group4,gp_derivative,381.0,95.2474111111111,382.0,True,0.9537016339264494,0.003740571915556921,0.05276288820163693,0.0010000000000000002,22.328019475131256,1.7875048951015458,2.882936422995478
LAMBDACYHALOTHRIN-LCY3,Group4,changepoint,,,,False,,,,,,,
LAMBDACYHALOTHRIN-LCY3,Group4,consensus,381.0,95.2474111111111,382.0,True,0.9537016339264494,0.003740571915556921,0.05276288820163693,0.0010000000000000002,22.328019475131256,1.7875048951015458,2.882936422995478
LAMBDACYHALOTHRINANDLB-LCY3,Group4,first_peak,101.0,25.249293333333338,102.0,True,0.9972730678241827,0.020271375812571678,1.1018422673118888,0.08852236296164225,3.8413932325370275,0.5749845252845409,1.4087794476724587
LAMBDACYHALOTHRINANDLB-LCY3,Group4,stationary_phase,245.0,61.24832083333333,246.0,True,0.9750994687958319,0.06796084170923519,1.3741738582916114,0.059146688206476554,1.5889701123142506,0.5656663399659733,2.465015908005339
LAMBDACYHALOTHRINANDLB-LCY3,Group4,adaptive_r2,82.0,20.499419166666662,83.0,True,0.9978208330936155,0.01681859413817495,1.0473025554072801,0.0935997620074654,4.030877089126651,0.7531608792451714,1.39432843011358
LAMBDACYHALOTHRINANDLB-LCY3,Group4,gp_derivative,284.0,70.99805916666666,285.0,True,0.9610667642463597,0.08735932037629592,1.4679789430852381,0.05007861583290476,0.10850864039271677,0.6651410198216758,2.7690556007605758
LAMBDACYHALOTHRINANDLB-LCY3,Group4,changepoint,,,,False,,,,,,,
LAMBDACYHALOTHRINANDLB-LCY3,Group4,consensus,245.0,61.24832083333333,246.0,True,0.9750994687958319,0.06796084170923519,1.3741738582916114,0.059146688206476554,1.5889701123142506,0.5656663399659733,2.465015908005339
PERMETHRINANDLB-PERM4,Group4,first_peak,69.0,17.249505555555555,70.0,True,0.988929492000172,0.05947977105311964,1.586673399422024,0.19639727468154822,2.001066175868219,1.2073651966004888,3.452519924268364
PERMETHRINANDLB-PERM4,Group4,stationary_phase,93.0,23.2493475,94.0,True,0.9905890355119474,0.055336383736163584,1.6435574218450444,0.18552563780049977,1.8606851049071518,0.6806221633048584,2.7182849881002276
