strain,group,method,trunc_idx,trunc_time,n_points,fit_success,r_squared,rmse,gompertz_A,gompertz_mu,gompertz_lambda,a_err_pct,mu_err_pct
LB-LCY4,Group1,first_peak,73.0,18.249405277777775,74.0,True,0.9966234871959556,0.02616542959668087,1.2606997784649001,0.13276382937543663,2.9925706577992526,0.8623972510800982,1.8836778978540545
LB-LCY4,Group1,stationary_phase,91.0,22.749285277777776,92.0,True,0.9973033242034162,0.024168722654532886,1.2793090891290386,0.13064813642583953,2.9534039177282705,0.4850927889917055,1.53184610869273
LB-LCY4,Group1,adaptive_r2,33.0,8.249679444444444,34.0,True,0.997883176972736,0.011370742436814723,0.8035195907326126,0.1630688220887037,3.2267068867656183,2.607626776635823,2.184398977766255
LB-LCY4,Group1,gp_derivative,88.0,21.99930305555555,89.0,True,0.9972076688080468,0.02455754270038096,1.2786022564926822,0.13074461048654468,2.9553731185987666,0.5287127597556547,1.58080659113118
LB-LCY4,Group1,changepoint,,,,False,,,,,,,
LB-LCY4,Group1,consensus,88.0,21.99930305555555,89.0,True,0.9972076688080468,0.02455754270038096,1.2786022564926822,0.13074461048654468,2.9553731185987666,0.5287127597556547,1.58080659113118
LB-BIF6,Group1,first_peak,95.0,23.749256666666664,96.0,True,0.9879183391796452,0.053869637635261786,1.6298124170612045,0.15374334494973155,0.04790504638561354,0.6978659480918467,2.634278092273955
LB-BIF6,Group1,stationary_phase,87.0,21.74930888888889,88.0,True,0.9873549073113296,0.05528394244570898,1.6170339880219948,0.15586841667009016,0.09309608434785543,0.8204710244212009,2.8194511247494707
LB-BIF6,Group1,adaptive_r2,91.0,22.749285277777776,92.0,True,0.9876470420255155,0.05458614707683668,1.6240010769663626,0.15472517603826957,0.06912055147238177,0.7551667259752117,2.722915181777131
LB-BIF6,Group1,gp_derivative,92.0,22.999275555555556,93.0,True,0.9877164048830186,0.05440936359481591,1.625560151945049,0.1544645376749651,0.06354667697544489,0.7401573652131227,2.7000842291018343
LB-BIF6,Group1,changepoint,,,,False,,,,,,,
