strain,group,method,trunc_idx,trunc_time,n_points,fit_success,r_squared,rmse,gompertz_A,gompertz_mu,gompertz_lambda,a_err_pct,mu_err_pct,original_reason,delta_od
MALATHION-MAL8,Group2,stationary_phase,51,12.749620833333331,52,True,0.9981487760039115,0.02567709811077,1.6351101797828047,0.33237986419095034,1.8566299763648173,0.4890447751134862,1.7619991830844388,BAD: Low R²: -0.323 < 0.95; High A error: 46.2% > 20.0%,0.0936999999999999
MALATHION-MAL8,Group2,adaptive_r2,51,12.749620833333331,52,True,0.9981487760039115,0.02567709811077,1.6351101797828047,0.33237986419095034,1.8566299763648173,0.4890447751134862,1.7619991830844388,BAD: Low R²: -0.323 < 0.95; High A error: 46.2% > 20.0%,0.0936999999999999
MALATHION-MAL8,Group2,gp_derivative,42,10.499685833333332,43,True,0.9987113586624824,0.02127997788117283,1.673127369275153,0.3216201275993379,1.8026883124616317,0.6554973154925147,1.5519588528433845,BAD: Low R²: -0.323 < 0.95; High A error: 46.2% > 20.0%,0.0936999999999999
MALATHION-MAL8,Group2,changepoint,75,18.74945527777778,76,True,0.9654574517533734,0.09766028386104453,1.492855320457169,0.3878121885090392,2.090584146373379,1.0575527971719287,7.328924675941669,BAD: Low R²: -0.323 < 0.95; High A error: 46.2% > 20.0%,0.0936999999999999
MALATHION-MAL8,Group2,consensus,51,12.749620833333331,52,True,0.9981487760039115,0.02567709811077,1.6351101797828047,0.33237986419095034,1.8566299763648173,0.4890447751134862,1.7619991830844388,BAD: Low R²: -0.323 < 0.95; High A error: 46.2% > 20.0%,0.0936999999999999
MALATHION-MAL1,Group2,first_peak,52,12.99961361111111,53,True,0.998793142870618,0.01971505974275595,1.5185613179603172,0.25835345938408477,3.36636187727553,0.6546857214113078,1.4937063097978232,BAD: Low R²: 0.919 < 0.95,0.03462
MALATHION-MAL1,Group2,stationary_phase,60,14.999558333333336,61,True,0.9985031255635024,0.02245762563553498,1.4885208562780392,0.26521710176526425,3.4112417677819367,0.49321794375792705,1.6148892553085894,BAD: Low R²: 0.919 < 0.95,0.03462
MALATHION-MAL1,Group2,adaptive_r2,60,14.999558333333336,61,True,0.9985031255635024,0.02245762563553498,1.4885208562780392,0.26521710176526425,3.4112417677819367,0.49321794375792705,1.6148892553085894,BAD: Low R²: 0.919 < 0.95,0.03462
MALATHION-MAL1,Group2,gp_derivative,49,12.24963361111111,50,True,0.9986689270643497,0.02024355802870029,1.5199501051466724,0.25809487604988235,3.3647124744150974,0.8097245138328251,1.591239314773453,BAD: Low R²: 0.919 < 0.95,0.03462
MALATHION-MAL1,Group2,changepoint,335,83.74769388888888,336,True,-1.402326200171904,0.43203881445611403,4.393699999999998,0.019095548270690377,2.2816732363988556e-15,81.87691946385986,29.63919444335974,BAD: Low R²: 0.919 < 0.95,0.03462
