strain,is_good,classification_reason,delta_od,max_od,initial_od,snr,time_to_max,r_squared,a_err_pct,mu_err_pct,truncation_time,points_used,gompertz_a,gompertz_a_err,gompertz_mu,gompertz_mu_err,gompertz_lambda,gompertz_lambda_err,fit_r_squared,fit_rmse,fit_mae
LB-LCY4,True,GOOD: Fit quality passed,1.3891,1.3891,,,,0.9983419026801634,0.3430441891215321,1.336510488781443,23.49926194444444,95,1.3515915290731786,0.004636556201144402,0.165942253919959,0.002217835628960587,4.2198823017862,0.055165764609974605,0.9983419026801634,0.021388076063105086,0.017858780189462187
LB-BIF6,True,GOOD: Fit quality passed,1.833833333333333,1.8986999999999996,,,,0.9971534557238831,0.356430963252218,1.3911950261614734,20.49934277777778,83,1.8553086764609688,0.006612894586811808,0.2131945205085519,0.0029659515653637763,0.3228934389007227,0.06149656344505305,0.9971534557238831,0.030184069944704215,0.022422531881667696
LB-BIF9,True,GOOD: Fit quality passed,1.8006400000000002,1.8225333333333336,,,,0.9771737867210246,1.0001449989427837,4.76805579756798,16.749445833333333,68,1.6693576502044558,0.016695997052988635,0.2886851451139317,0.013764668798322355,0.5621848211782645,0.14341513993060995,0.9771737867210246,0.0810537091493236,0.06958497178832818
LB-FLUPC8,True,GOOD: Fit quality passed,1.5255533333333333,1.5276,,,,0.9980663390779951,0.2668859427965792,1.3103996724603102,23.49926194444444,95,1.4764256435550893,0.003940372498492462,0.2017137522187151,0.0026432563483814444,2.1519649627175625,0.050023460971030324,0.9980663390779951,0.022775507154252708,0.018180152657147435
H2O-BIF2,False,BAD: Fit failed - Each lower bound must be strictly less than each upper bound.,0.0,0.0,,,,0.0,inf,inf,2.499836111111111,11,,,,,,,,,
H2O-BiF7,False,BAD: Fit failed - Each lower bound must be strictly less than each upper bound.,0.0,0.0,,,,0.0,inf,inf,2.499836111111111,11,,,,,,,,,
H2O-LCY4,False,BAD: Fit failed - Each lower bound must be strictly less than each upper bound.,0.0,0.0,,,,0.0,inf,inf,2.499836111111111,11,,,,,,,,,
H2O-BIF6,False,BAD: Fit failed - Each lower bound must be strictly less than each upper bound.,0.0,0.0,,,,0.0,inf,inf,2.499836111111111,11,,,,,,,,,
H2O-BIF9,False,BAD: Fit failed - Each lower bound must be strictly less than each upper bound.,0.0,0.0,,,,0.0,inf,inf,2.499836111111111,11,,,,,,,,,
H2O-FLUPC8,False,BAD: Fit failed - Each lower bound must be strictly less than each upper bound.,0.00037333333333328,0.0004666666666666,,,,0.0,inf,inf,2.499836111111111,11,,,,,,,,,
Bifenthrin-BIF2,False,BAD: Fit failed - Initial guess is outside of provided bounds,0.0041999999999999,0.0041999999999999,,,,0.0,inf,inf,23.749256666666664,92,,,,,,,,,
Bifenthrin-BiF7,False,BAD: Fit failed - Each lower bound must be strictly less than each upper bound.,0.0,0.0,,,,0.0,inf,inf,2.499836111111111,11,,,,,,,,,
Bifenthrin-BIF6,False,BAD: Low R²: 0.908 < 0.95,0.0492333333333333,0.0492333333333333,,,,0.9079891801224861,9.511969468980299,6.32002501792564,22.749285277777776,92,0.055282530234595575,0.005258457397594534,0.0026712154488342807,0.00016882148464902123,3.100297972463865,0.5154181797669237,0.9079891801224861,0.004600401668688681,0.0036872738519637648
Bifenthrin-BIF9,False,BAD: Fit failed - Each lower bound must be strictly less than each upper bound.,0.0,0.0,,,,0.0,inf,inf,2.499836111111111,11,,,,,,,,,
