strain,is_good,classification_reason,delta_od,max_od,initial_od,snr,time_to_max,r_squared,a_err_pct,mu_err_pct,best_model,truncation_time,points_used,gompertz_a,gompertz_a_err,gompertz_mu,gompertz_mu_err,gompertz_lambda,gompertz_lambda_err,fit_r_squared,fit_rmse,fit_mae,baseline_std,monotone_fraction,residual_autocorr,delta_od_ci_lower,p_good,ml_classification,group
LB-LCY4,True,GOOD: Fit quality passed,1.3891,1.3891,,138910000.0,,0.9983042380930144,0.3410556351481714,1.3443681606248574,gompertz,23.749256666666664,96,1.3532834366210065,0.0046154494201227,0.165562995583901,0.0022257761984067,4.213989755762041,0.0557763023881974,0.9983042380930144,0.0216398855114457,0.018119643786782,1e-08,0.875,0.9620195896560032,1.38909998,,,Group1
LB-BIF6,True,GOOD: Fit quality passed,1.699423333333333,1.8986999999999996,,10.625365497068383,,0.9969878905056584,0.2935308422228205,1.332147433704017,gompertz,23.749256666666664,96,1.8708701236848293,0.0054915808309472,0.209825967100871,0.0027951912359788,0.2769123173117009,0.0615870945434971,0.9969878905056584,0.030543376307696,0.0230585342752997,0.1599402235906347,1.0,0.8979660181653704,1.3795428861520636,,,Group1
LB-BIF9,True,GOOD: Fit quality passed,1.6863433333333335,1.8225333333333336,,11.32978381804857,,0.974892600968158,0.6981737673087544,4.084008618582418,gompertz,23.749256666666664,96,1.7466161042768746,0.0121944154556512,0.2552155583473026,0.010423025398867,0.3054767225461439,0.1487254932922685,0.974892600968158,0.0810045361369903,0.0653350518969335,0.1488416160815844,1.0,0.9608859117526076,1.3886601011701645,,,Group1
LB-FLUPC8,True,GOOD: Fit quality passed,1.50818,1.5276,,74.13171403327316,,0.9979777467545417,0.2690739776855371,1.3327890092235628,gompertz,23.749256666666664,96,1.4779165968716457,0.0039766889740772,0.2013016964908846,0.002682926886211,2.147138570553555,0.0510823386430925,0.9979777467545417,0.0232642546732336,0.0186021378853032,0.0203445990648897,1.0,0.9468304986702984,1.4674908018702206,,,Group1
H2O-BIF2,False,BAD: Pre-fit SNR too low (0.0 < 3.0),0.0,0.0,,0.0,,,,,gompertz,23.749256666666664,96,,,,,,,,,,,,,,,,Group1
H2O-BiF7,False,BAD: Pre-fit SNR too low (0.0 < 3.0),0.0,0.0,,0.0,,,,,gompertz,23.749256666666664,96,,,,,,,,,,,,,,,,Group1
H2O-LCY4,False,BAD: Pre-fit SNR too low (0.0 < 3.0),0.0,0.0,,0.0,,,,,gompertz,23.749256666666664,96,,,,,,,,,,,,,,,,Group1
H2O-BIF6,False,BAD: Pre-fit SNR too low (0.0 < 3.0),0.0,0.0,,0.0,,,,,gompertz,23.749256666666664,96,,,,,,,,,,,,,,,,Group1
H2O-BIF9,False,BAD: Pre-fit SNR too low (0.0 < 3.0),0.0,0.0,,0.0,,,,,gompertz,23.749256666666664,96,,,,,,,,,,,,,,,,Group1
H2O-FLUPC8,False,BAD: Fit failed - Each lower bound must be strictly less than each upper bound.,0.0003733333333332,0.0004666666666666,,,,0.0,inf,inf,gompertz,0.7498866666666667,4,,,,,,,,,,,,,,,,Group1
Bifenthrin-BIF2,False,BAD: Fit failed - `x0` is infeasible.,0.0041999999999999,0.0041999999999999,,,,0.0,inf,inf,gompertz,23.749256666666664,96,,,,,,,,,,,,,,,,Group1
Bifenthrin-BiF7,False,BAD: Pre-fit SNR too low (0.0 < 3.0),0.0,0.0,,0.0,,,,,gompertz,23.749256666666664,96,,,,,,,,,,,,,,,,Group1
Bifenthrin-BIF6,False,BAD: Low R²: 0.695 < 0.95; High A error: 156.5% > 20.0%; High mu error: 77.8% > 20.0%; Delta OD not significant: CI lower=0.049 < 0.1; Insufficient growth: delta_od=0.049 < 0.15,0.0492333333333333,0.0492333333333333,,4923333.33333333,,0.6951083215298972,156.4856217410757,77.82858682269094,gompertz,12.99955027777778,53,0.097299999996569,0.1522605099486976,0.0033009558078229,0.0025690872568701,4.884887492663386,6.2042062231193915,0.6951083215298972,0.0050883756544117,0.004130920488663,1e-08,0.6071428571428571,0.2926933145029717,0.0492333133333333,,,Group1
Bifenthrin-BIF9,False,BAD: Pre-fit SNR too low (0.0 < 3.0),0.0,0.0,,0.0,,,,,gompertz,23.749256666666664,96,,,,,,,,,,,,,,,,Group1
LAMBDACYHALOTHRIN-LCY1,False,BAD: Insufficient growth: delta_od=0.046 < 0.15,0.0462666666666666,0.0462666666666666,,4626666.66666666,,0.998524021501438,0.2258279832569337,2.0810977197404528,gompertz,79.24781361111111,318,0.0341061419942673,7.702121263240006e-05,0.1280630260442832,0.0026651167148382,76.72849048222717,0.0029336635717621,0.998524021501438,0.0002251895716639,3.2673126736054645e-05,1e-08,0.0,0.4674838282790883,0.0462666466666666,,,Group2
LAMBDACYHALOTHRINANDLB-LCY1,True,GOOD: Fit quality passed,1.6870333333333334,1.6870333333333334,,168703333.33333334,,0.998640365771174,0.4594349556050106,1.238766668176474,gompertz,19.74942805555556,80,1.6032011342495789,0.0073656664193985,0.1833913125767854,0.0022717904525325,3.8441550422142168,0.0518785315700606,0.998640365771174,0.0221845687030556,0.0192920097099173,1e-08,0.7405857740585774,0.9619049733434611,1.6870333133333333,,,Group2
MALATHIONANDLB-MAL8,True,GOOD: Fit quality passed,1.5208833333333334,1.6162,,28.35948247812413,,0.9987327233081454,0.5771325395769457,1.5185154339343274,gompertz,10.999669166666669,45,1.6665459145385857,0.0096181787597923,0.3231580922048043,0.0049072055061376,1.8102883009988149,0.037364817831005,0.9987327233081454,0.0212465022304787,0.0154965518815424,0.0536287407397687,0.6527196652719666,0.8912698736506908,1.413625851853796,,,Group2
MALATHIONANDLB-MAL10,False,BAD: Low R²: -1.332 < 0.95; High A error: 61.8% > 20.0%; High mu error: 21.1% > 20.0%,1.4440566666666663,1.4645666666666666,,153.41117624382073,,-1.3318700839177635,61.769864985765544,21.102263132939473,gompertz,99.74725277777776,400,4.393699999999999,2.71398255787958,0.0169932402761427,0.0035859582778842,5.809248032702879e-13,17.647360711385705,-1.3318700839177635,0.4167042281674465,0.3259903978930848,0.0094129821700316,0.7405857740585774,0.994266766303002,1.425230702326603,,,Group2
MALATHIONANDLB-MAL1,True,GOOD: Fit quality passed,1.6237899999999996,1.6706666666666663,,57.19851201298234,,0.9994078358470696,0.417858865505641,1.1521065629070228,gompertz,10.749675833333333,44,1.7122679752146284,0.0071548635356482,0.3759910845189426,0.004331817960688,2.405417369576508,0.0252257910756301,0.9994078358470696,0.0157379928820986,0.0111870461293223,0.0283886755591027,0.5188284518828452,0.8795172797983835,1.567012648881794,,,Group2
MALATHIONANDLB-MAL5,True,GOOD: Fit quality passed,1.4972633333333334,1.521,,69.47652906877757,,0.9995728666706648,0.3802653677886269,0.9203042325051216,gompertz,11.74964861111111,48,1.5821565919843217,0.0060163935835011,0.297012030313825,0.0027334142860275,2.7246650979727844,0.0230703442384501,0.9995728666706648,0.0121902891379516,0.0098009730298967,0.0215506352059,0.6610878661087866,0.8248587711457499,1.4541620629215333,,,Group2
MALATHIONANDLB-MAL4,True,GOOD: Fit quality passed,1.3651766666666667,1.4016333333333333,,78.36426905077523,,0.9986548735089994,0.816285636751168,1.4325652174454462,gompertz,12.99961361111111,53,1.518124105180039,0.0123922290186418,0.2167692972734304,0.00310536155484,3.015896540912531,0.0447518457063607,0.9986548735089994,0.0193629340657975,0.0173824889993372,0.0174209072987347,0.6694560669456067,0.9032200348985112,1.330334852069197,,,Group2
MALATHION-MAL8,False,BAD: Low R²: 0.070 < 0.95; High A error: 38.5% > 20.0%; Delta OD not significant: CI lower=0.092 < 0.1; Insufficient growth: delta_od=0.094 < 0.15; High residual autocorrelation: 0.99 > 0.7,0.0943866666666666,0.1588999999999999,,99.99724729325126,,0.07018388877986,38.491954993480014,12.826100799013668,gompertz,76.99787416666666,309,0.4752,0.182913770129017,0.0024359903332647,0.0003124425755987,3.190799299294179e-16,8.201050758369629,0.07018388877986,0.0262844585493141,0.0239311034237388,0.0009438926492633,0.7740585774058577,0.9897988623427204,0.0924988813681399,,,Group2
MALATHION-MAL10,False,BAD: Pre-fit SNR too low (0.4 < 3.0),0.0008466666666667,0.0256333333333333,,0.400512913000017,,,,,gompertz,99.74725277777776,400,,,,,,,,,,,,,,,,Group2
MALATHION-MAL1,False,BAD: Low R²: 0.916 < 0.95; Delta OD not significant: CI lower=0.031 < 0.1; Insufficient growth: delta_od=0.037 < 0.15; High residual autocorrelation: 0.93 > 0.7,0.0371466666666666,0.0505333333333333,,12.846214064903888,,0.9158980850698242,19.803810439727577,8.35011945432288,gompertz,74.49794166666668,299,0.1515999999999961,0.0300225766266262,0.001,8.350119454322882e-05,20.603414251535757,3.817944006822165,0.9158980850698242,0.0040393865888612,0.0032370952320187,0.0028916431315084,0.6736401673640168,0.932715025117274,0.0313633804036497,,,Group2
MALATHION-MAL5,False,BAD: Pre-fit SNR too low (0.5 < 3.0),0.0028066666666666,0.0295666666666666,,0.4724493478257695,,,,,gompertz,99.74725277777776,400,,,,,,,,,,,,,,,,Group2
MALATHION-MAL4,False,BAD: Insufficient growth: delta_od=0.050 < 0.15,0.0497133333333332,0.0527999999999999,,77.82500359117971,,0.9810869225000324,11.598737180464852,5.347503281753658,gompertz,74.24795027777778,298,0.1583999999999996,0.0183723996938562,0.0010603119140547,5.67002144009017e-05,26.32640837013642,2.2846115688832227,0.9810869225000324,0.002006969916197,0.001598573667639,0.0006387835661978,0.6652719665271967,0.5611390071240482,0.0484357662009376,,,Group2
