TIME[H],LB_BIF2_blanked,LB_BiF7_blanked,LB_LCY4_blanked,LB_BIF6_blanked,LB_BIF9_blanked,LB_FLUPC8_blanked
9.749640833333334,1.5605,1.5768666666666666,0.9075000000000001,1.5866666666666667,1.5545999999999998,1.2543666666666666
9.999631944444445,1.5735000000000001,1.5879000000000003,0.9283999999999999,1.6031,1.5701,1.2759666666666667
10.249625277777778,1.5834,1.5979333333333334,0.9594666666666665,1.6170333333333333,1.580266666666667,1.2892333333333335
10.4996175,1.5950666666666669,1.6095,0.9847666666666668,1.6344666666666667,1.5948333333333333,1.306833333333333
10.749612777777777,1.6048666666666667,1.6183666666666665,0.9962000000000002,1.6465666666666665,1.6033333333333333,1.3177333333333334
10.999607222222224,1.6134666666666666,1.6273333333333333,1.0206,1.6594333333333333,1.6123999999999998,1.33
11.24959777777778,1.6257999999999997,1.64,1.0439666666666665,1.6766333333333334,1.6283666666666667,1.3430666666666666
11.499590555555555,1.6336,1.6459,1.0528333333333333,1.6849666666666667,1.6344999999999998,1.3498666666666668
11.749581944444445,1.6449333333333336,1.6581333333333337,1.0744333333333336,1.7001333333333335,1.6463,1.3601333333333336
11.999579722222222,1.6521000000000001,1.6639333333333335,1.0908666666666667,1.7084333333333332,1.6517333333333335,1.3642000000000003
12.249574166666665,1.6591666666666665,1.6721,1.1057,1.7217333333333333,1.6630999999999998,1.3728666666666665
12.49956361111111,1.6698333333333333,1.6823666666666663,1.1160999999999999,1.7334999999999998,1.6735333333333333,1.3822666666666665
12.74955638888889,1.6722000000000001,1.6826666666666665,1.1294333333333335,1.7367666666666668,1.6742,1.3816333333333333
12.999550277777779,1.6837666666666666,1.6943,1.1385,1.7519666666666667,1.687466666666667,1.3916666666666668
13.2495425,1.6891,1.7008,1.1554666666666669,1.7590666666666666,1.693366666666667,1.3975
13.499537777777778,1.6947333333333332,1.7062333333333335,1.1660666666666666,1.7671333333333332,1.7001,1.4024666666666668
13.749528333333334,1.7033333333333336,1.7127333333333337,1.177166666666667,1.7739666666666667,1.7039666666666666,1.4032333333333333
13.999524166666665,1.7079,1.7182666666666668,1.1905333333333334,1.7793333333333332,1.7091666666666667,1.4057333333333333
14.249513888888888,1.7128,1.7228333333333334,1.1970333333333334,1.7875999999999999,1.7158666666666667,1.4092666666666667
14.499509999999999,1.7162000000000002,1.7255333333333334,1.2043000000000001,1.7916666666666665,1.7188,1.4119666666666668
14.749504444444444,1.7204666666666666,1.7286,1.2146000000000001,1.7960666666666667,1.7241666666666666,1.4145666666666667
14.999496111111112,1.7236333333333334,1.7322,1.2197666666666669,1.8009,1.7272666666666667,1.4162666666666666
15.249488611111111,1.7292,1.7376,1.2296,1.8066,1.7319666666666669,1.4194333333333335
15.499481944444446,1.7276333333333334,1.736033333333333,1.2361,1.8101666666666665,1.7352666666666665,1.4224666666666665
15.749476666666666,1.7315666666666667,1.7402666666666666,1.2466666666666668,1.8173000000000001,1.7411999999999999,1.4272666666666667
15.999469722222223,1.7340333333333333,1.7422,1.2533333333333334,1.8197666666666668,1.7433666666666665,1.4288333333333334
16.24946027777778,1.7366999999999997,1.7439666666666667,1.2615666666666665,1.8241333333333334,1.7460666666666664,1.4313
16.49945222222222,1.7402666666666666,1.7482333333333333,1.2674333333333332,1.8289,1.7509333333333332,1.4348
16.749445833333333,1.7387000000000001,1.7465666666666668,1.2730333333333332,1.8321666666666667,1.7520666666666664,1.4372666666666665
16.99944138888889,1.7439333333333333,1.7515666666666667,1.2848666666666666,1.8387333333333333,1.7591666666666668,1.4431333333333334
17.2494325,1.7460666666666667,1.7533333333333334,1.2914,1.8401333333333332,1.7609333333333335,1.4449333333333332
17.499424444444443,1.7485,1.7561666666666667,1.2948333333333335,1.845866666666667,1.7649666666666666,1.4502333333333333
17.749419444444445,1.7507000000000001,1.7576333333333332,1.3030666666666666,1.8479333333333334,1.7670666666666666,1.4524
17.999411388888888,1.752,1.7583666666666669,1.3057666666666667,1.8514999999999997,1.7711000000000001,1.4560333333333335
18.249405277777775,1.7537666666666667,1.7610333333333335,1.3131,1.8536666666666668,1.7732333333333334,1.4591666666666667
18.499398055555556,1.7605666666666666,1.7670000000000001,1.3224666666666665,1.8605333333333332,1.7773666666666665,1.4637
18.749391111111112,1.7558666666666665,1.7622666666666666,1.3222,1.8588000000000002,1.7763,1.465
18.999383611111114,1.7577333333333331,1.7637333333333334,1.3244,1.8589666666666664,1.778333333333333,1.4652666666666667
19.249378055555557,1.7617666666666665,1.7661333333333333,1.3338333333333332,1.8643,1.7823666666666664,1.4723333333333333
19.499371388888886,1.7634333333333332,1.7687666666666666,1.3353,1.8652666666666666,1.785,1.4754333333333332
19.749367222222222,1.7673666666666663,1.7726333333333333,1.3408333333333333,1.8685666666666672,1.7861666666666665,1.4779999999999998
