TIME[H],H2O_BIF2_blanked,H2O_BiF7_blanked,H2O_LCY4_blanked,H2O_BIF6_blanked,H2O_BIF9_blanked,H2O_FLUPC8_blanked
14.749504444444444,0.0,0.0,0.0,0.0,0.0,0.0
14.999496111111112,0.0,0.0,0.0,0.0,0.0,0.0
15.249488611111111,0.0,0.0,0.0,0.0,0.0,0.0
15.499481944444446,0.0,0.0,0.0,0.0,0.0,0.0
15.749476666666666,0.0,0.0,0.0,0.0,0.0,0.0
15.999469722222223,0.0,0.0,0.0,0.0,0.0,0.0
16.24946027777778,0.0,0.0,0.0,0.0,0.0,0.0
16.49945222222222,0.0,0.0,0.0,0.0,0.0,0.0
16.749445833333333,0.0,0.0,0.0,0.0,0.0,0.0
16.99944138888889,0.0,0.0,0.0,0.0,0.0,0.0
17.2494325,0.0,0.0,0.0,0.0,0.0,0.0
17.499424444444443,0.0,0.0,0.0,0.0,0.0,0.0
17.749419444444445,0.0,0.0,0.0,0.0,0.0,0.0
17.999411388888888,0.0,0.0,0.0,0.0,0.0,0.0
18.249405277777775,0.0,0.0,0.0,0.0,0.0,0.0
18.499398055555556,0.0,0.0,0.0,0.0,0.0,0.0
18.749391111111112,0.0,0.0,0.0,0.0,0.0,0.0
18.999383611111114,0.0,0.0,0.0,0.0,0.0,0.0
19.249378055555557,0.0,0.0,0.0,0.0,0.0,0.0
19.499371388888886,0.0,0.0,0.0,0.0,0.0,0.0
19.749367222222222,0.0,0.0,0.0,0.0,0.0,0.0
19.999357500000002,0.0,0.0,0.0,0.0,0.0,0.0
20.249350277777776,0.0,0.0,0.0,0.0,0.0,0.0
20.49934277777778,0.0,0.0,0.0,0.0,0.0,0.0
20.749337222222223,0.0,0.0,0.0,0.0,0.0,0.0
20.999330555555556,0.0,0.0,0.0,0.0,0.0,0.0
21.2493225,0.0,0.0,0.0,0.0,0.0,0.0
21.499316666666665,0.0,0.0,0.0,0.0,0.0,0.0
21.74930888888889,0.0,0.0,0.0,0.0,0.0,0.0
21.999303055555554,0.0,0.0,0.0,0.0,0.0,0.0
22.249296944444442,0.0,0.0,0.0,0.0,0.0,0.0
22.4992925,0.0,0.0,0.0,0.0,0.0,0.0
22.749285277777776,0.0,0.0,0.0,0.0,0.0,0.0
22.999275555555556,0.0,0.0,0.0,0.0,0.0,0.0
23.249269166666668,0.0,0.0,0.0,0.0,0.0,0.0
23.49926194444444,0.0,0.0,0.0,0.0,0.0,0.0
23.749256666666664,0.0,0.0,0.0,0.0,0.0,0.0
